* Measurement data measured by REW V5.20.13
* Source: ASIO hdspfire, Analog 1 (1)
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS, at 44100 Hz
* Dated: 04/06/2024 15:31:06
* Sense Resistor: 26.3
* Lead resistance: 0.000
* Input resistance: 20000.000
* Calibration factor: 0.9925
* Note: 
* Measurement: Parlante Colgado + 19 gr masa
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 2.0187378 Hz
*
* Freq(Hz)	Z(Ohms)	Phase(degrees)
137.947083	8.213405	15.8177
138.283539	8.218960	15.9192
138.619995	8.223989	16.0208
138.956451	8.229527	16.1222
139.292908	8.235018	16.2211
139.629364	8.240222	16.3197
139.965820	8.245529	16.4178
140.302277	8.250862	16.5183
140.638733	8.256467	16.6137
140.975189	8.261832	16.7124
141.311646	8.267260	16.8062
141.648102	8.272504	16.9052
141.984558	8.278430	17.0007
142.321014	8.283883	17.0947
142.657471	8.289597	17.1902
142.993927	8.295267	17.2829
143.330383	8.300976	17.3777
143.666840	8.306942	17.4694
144.003296	8.312558	17.5603
144.339752	8.318057	17.6536
144.676208	8.324042	17.7459
145.012665	8.329849	17.8390
145.349121	8.336134	17.9291
145.685577	8.342063	18.0192
146.022034	8.347953	18.1089
146.358490	8.354365	18.1993
146.694946	8.360083	18.2838
147.031403	8.365652	18.3761
147.367859	8.372168	18.4661
147.704315	8.378187	18.5513
148.040771	8.384315	18.6408
148.377228	8.390160	18.7246
148.713684	8.396473	18.8135
149.050140	8.401463	18.8989
149.386597	8.408646	18.9847
149.723053	8.411424	19.0861
150.059509	8.425287	19.1785
150.395966	8.427965	19.2252
150.732422	8.433814	19.3224
151.068878	8.439429	19.4044
151.405334	8.445831	19.4860
151.741791	8.451663	19.5696
152.078247	8.457435	19.6522
152.414703	8.464139	19.7367
152.751160	8.470188	19.8156
153.087616	8.476562	19.8992
153.424072	8.483303	19.9767
153.760529	8.489139	20.0554
154.096985	8.495730	20.1356
