* Measurement data measured by REW V5.20.13
* Source: ASIO hdspfire, Analog 1 (1)
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS, at 44100 Hz
* Dated: 04/06/2024 15:30:21
* Sense Resistor: 26.3
* Lead resistance: 0.000
* Input resistance: 20000.000
* Calibration factor: 0.9925
* Note: 
* Measurement: Parlante Colgado
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 2.0187378 Hz
*
* Freq(Hz)	Z(Ohms)	Phase(degrees)
129.199219	9.129678	-7.1275
129.535675	9.108655	-6.9317
129.872131	9.087581	-6.7402
130.208588	9.068077	-6.5370
130.545044	9.048276	-6.3557
130.881500	9.027415	-6.1489
131.217957	9.010224	-5.9532
131.554413	8.991364	-5.7639
131.890869	8.972364	-5.5637
132.227325	8.956291	-5.3606
132.563782	8.940063	-5.1773
132.900238	8.922126	-4.9796
133.236694	8.907416	-4.7848
133.573151	8.891089	-4.5990
133.909607	8.874775	-4.4014
134.246063	8.861179	-4.1990
134.582520	8.848257	-4.0209
134.918976	8.832116	-3.8323
135.255432	8.819547	-3.6332
135.591888	8.807252	-3.4569
135.928345	8.792026	-3.2732
136.264801	8.779332	-3.0740
136.601257	8.767917	-2.8906
136.937714	8.754879	-2.7047
137.274170	8.744297	-2.5087
137.610626	8.734612	-2.3375
137.947083	8.721819	-2.1627
138.283539	8.710120	-1.9737
138.619995	8.700218	-1.7928
138.956451	8.688603	-1.6162
139.292908	8.677373	-1.4253
139.629364	8.668487	-1.2340
139.965820	8.660443	-1.0546
140.302277	8.651364	-0.8795
140.638733	8.642871	-0.6981
140.975189	8.635042	-0.5253
141.311646	8.626472	-0.3557
141.648102	8.617083	-0.1792
141.984558	8.609736	-0.0015
142.321014	8.601023	0.1690
142.657471	8.592487	0.3515
142.993927	8.585841	0.5416
143.330383	8.581938	0.7132
143.666840	8.574440	0.8759
144.003296	8.568884	1.0599
144.339752	8.565342	1.2181
144.676208	8.557727	1.3697
145.012665	8.550030	1.5481
145.349121	8.545976	1.7196
145.685577	8.539752	1.8773
146.022034	8.533208	2.0535
146.358490	8.529643	2.2299
146.694946	8.525963	2.3838
147.031403	8.519708	2.5508
147.367859	8.516739	2.7219
147.704315	8.513140	2.8737
148.040771	8.508138	3.0331
148.377228	8.502810	3.1960
148.713684	8.501012	3.3666
149.050140	8.495858	3.5141
149.386597	8.493731	3.6731
149.723053	8.484888	3.8535
150.059509	8.493049	4.0236
150.395966	8.484948	4.1264
150.732422	8.480902	4.3058
151.068878	8.479501	4.4699
151.405334	8.478930	4.6028
151.741791	8.473087	4.7549
152.078247	8.472176	4.9241
152.414703	8.471670	5.0584
152.751160	8.467230	5.2071
153.087616	8.465495	5.3671
153.424072	8.465173	5.5167
153.760529	8.462856	5.6562
154.096985	8.461262	5.8164
154.433441	8.461711	5.9608
154.769897	8.460922	6.0982
155.106354	8.458556	6.2394
155.442810	8.457606	6.3935
155.779266	8.457846	6.5359
156.115723	8.457446	6.6774
156.452179	8.456467	6.8124
156.788635	8.455588	6.9655
157.125092	8.456430	7.0969
157.461548	8.454587	7.2446
157.798004	8.456476	7.3854
158.134460	8.455622	7.5167
158.470917	8.455462	7.6591
