	bell 5k broad		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
6375.000000	-12.91	175.92	1.00
6468.750000	-12.94	175.32	1.00
6562.500000	-13.01	174.81	1.00
6656.250000	-13.04	174.44	1.00
6750.000000	-13.08	174.17	1.00
6843.750000	-13.15	173.48	1.00
6937.500000	-13.16	173.20	1.00
7031.250000	-13.20	172.75	1.00
7125.000000	-13.24	172.30	1.00
7218.750000	-13.29	171.94	1.00
7312.500000	-13.31	171.55	1.00
7406.250000	-13.34	171.21	1.00
7500.000000	-13.38	170.88	1.00
7593.750000	-13.44	170.50	1.00
7687.500000	-13.46	170.16	1.00
7781.250000	-13.51	169.87	1.00
7875.000000	-13.54	169.67	1.00
7968.750000	-13.56	169.29	1.00
8062.500000	-13.61	169.06	1.00
8156.250000	-13.65	168.92	1.00
8250.000000	-13.69	168.60	1.00
8343.750000	-13.73	168.28	1.00
8437.500000	-13.78	168.03	1.00
8531.250000	-13.82	167.78	1.00
8625.000000	-13.84	167.60	1.00
8718.750000	-13.89	167.38	1.00
8812.500000	-13.92	167.15	1.00
8906.250000	-13.95	166.90	1.00
9000.000000	-13.99	166.75	1.00
9187.500000	-14.05	166.49	1.00
9375.000000	-14.12	165.95	1.00
9562.500000	-14.19	165.63	1.00
9750.000000	-14.25	165.39	1.00
9937.500000	-14.29	165.02	1.00
10125.000000	-14.38	164.72	1.00
10312.500000	-14.43	164.52	1.00
10500.000000	-14.50	164.29	1.00
10687.500000	-14.56	164.17	1.00
10875.000000	-14.61	163.68	1.00
11062.500000	-14.64	163.47	1.00
11250.000000	-14.71	163.41	1.00
11437.500000	-14.77	163.15	1.00
11625.000000	-14.80	163.02	1.00
11812.500000	-14.87	162.82	1.00
12000.000000	-14.91	162.65	1.00
12187.500000	-14.95	162.40	1.00
12375.000000	-15.00	162.26	1.00
12562.500000	-15.04	162.10	1.00
12750.000000	-15.09	161.95	1.00
12937.500000	-15.14	161.80	1.00
13125.000000	-15.19	161.73	1.00
13312.500000	-15.21	161.53	1.00
13500.000000	-15.26	161.51	1.00
13687.500000	-15.29	161.32	1.00
13875.000000	-15.34	161.13	1.00
14062.500000	-15.39	161.01	1.00
14250.000000	-15.42	160.93	1.00
14437.500000	-15.45	160.82	1.00
14625.000000	-15.50	160.73	1.00
14812.500000	-15.52	160.61	1.00
15000.000000	-15.56	160.40	1.00
15187.500000	-15.59	160.34	1.00
15375.000000	-15.62	160.33	1.00
15562.500000	-15.66	160.22	1.00
15750.000000	-15.69	160.11	1.00
15937.500000	-15.72	159.98	1.00
16125.000000	-15.76	159.90	1.00
16312.500000	-15.79	159.80	1.00
16500.000000	-15.83	159.73	1.00
16687.500000	-15.86	159.59	1.00
16875.000000	-15.87	159.60	1.00
17062.500000	-15.91	159.60	1.00
17250.000000	-15.93	159.45	1.00
17437.500000	-15.97	159.31	1.00
17625.000000	-15.99	159.26	1.00
17812.500000	-16.02	159.18	1.00
18000.000000	-16.05	159.12	1.00
18187.500000	-16.08	159.00	1.00
18375.000000	-16.10	158.97	1.00
18562.500000	-16.12	158.87	1.00
18750.000000	-16.15	158.81	1.00
18937.500000	-16.18	158.77	1.00
19125.000000	-16.21	158.75	1.00
19312.500000	-16.25	158.67	1.00
19500.000000	-16.27	158.57	1.00
19687.500000	-16.28	158.51	1.00
19875.000000	-16.31	158.44	1.00
20062.500000	-16.33	158.41	1.00
20250.000000	-16.35	158.33	1.00
20437.500000	-16.38	158.19	1.00
20625.000000	-16.40	158.19	1.00
20812.500000	-16.42	158.14	1.00
21000.000000	-16.45	158.08	1.00
21187.500000	-16.47	157.99	1.00
21375.000000	-16.49	157.92	1.00
21562.500000	-16.53	157.86	1.00
21750.000000	-16.55	157.84	1.00
21937.500000	-16.56	157.72	1.00
22125.000000	-16.58	157.71	1.00
22312.500000	-16.60	157.69	1.00
22500.000000	-16.62	157.59	1.00
22687.500000	-16.63	157.52	1.00
22875.000000	-16.64	157.44	1.00
23062.500000	-16.66	157.36	1.00
23250.000000	-16.71	157.45	1.00
23437.500000	-16.85	158.28	1.00
23625.000000	-17.20	160.64	1.00
23812.500000	-17.81	165.68	0.99
