	bell 5k sharp		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1476.562500	-18.98	-129.71	1.00
1500.000000	-18.85	-129.82	1.00
1523.437500	-18.74	-129.10	1.00
1546.875000	-18.62	-129.16	1.00
1570.312500	-18.52	-128.82	1.00
1593.750000	-18.42	-128.85	1.00
1617.187500	-18.34	-128.44	1.00
1640.625000	-18.16	-128.03	1.00
1664.062500	-18.11	-127.88	1.00
1687.500000	-17.97	-127.77	1.00
1710.937500	-17.80	-127.69	1.00
1734.375000	-17.68	-127.30	1.00
1757.812500	-17.61	-127.51	1.00
1781.250000	-17.41	-127.36	1.00
1804.687500	-17.39	-127.08	1.00
1828.125000	-17.25	-126.65	1.00
1851.562500	-17.18	-126.69	1.00
1875.000000	-17.03	-126.53	1.00
1898.437500	-16.88	-126.22	1.00
1921.875000	-16.79	-126.23	1.00
1945.312500	-16.72	-126.28	1.00
1968.750000	-16.59	-126.23	1.00
1992.187500	-16.47	-126.04	1.00
2015.625000	-16.38	-126.17	1.00
2039.062500	-16.28	-126.01	1.00
2062.500000	-16.14	-125.90	1.00
2085.937500	-15.99	-126.02	1.00
2109.375000	-15.88	-125.84	1.00
2132.812500	-15.79	-125.57	1.00
2156.250000	-15.69	-125.24	1.00
2179.687500	-15.61	-125.63	1.00
2203.125000	-15.54	-125.74	1.00
2226.562500	-15.43	-125.79	1.00
2250.000000	-15.29	-125.78	1.00
2296.875000	-15.13	-125.82	1.00
2343.750000	-14.89	-125.98	1.00
2390.625000	-14.72	-125.74	1.00
2437.500000	-14.43	-125.91	1.00
2484.375000	-14.30	-126.12	1.00
2531.250000	-14.09	-126.32	1.00
2578.125000	-13.84	-126.47	1.00
2625.000000	-13.65	-126.62	1.00
2671.875000	-13.40	-126.86	1.00
2718.750000	-13.26	-126.99	1.00
2765.625000	-13.04	-127.83	1.00
2812.500000	-12.91	-128.05	1.00
2859.375000	-12.60	-128.43	1.00
2906.250000	-12.50	-128.90	1.00
2953.125000	-12.27	-129.47	1.00
3000.000000	-12.08	-130.23	1.00
3046.875000	-11.95	-130.36	1.00
3093.750000	-11.68	-130.56	1.00
3140.625000	-11.60	-131.53	1.00
3187.500000	-11.36	-131.82	1.00
3234.375000	-11.19	-132.35	1.00
3281.250000	-11.07	-133.22	1.00
3328.125000	-10.87	-134.20	1.00
3375.000000	-10.66	-134.55	1.00
3421.875000	-10.56	-134.27	1.00
3468.750000	-10.39	-135.84	1.00
3515.625000	-10.27	-136.70	1.00
3562.500000	-10.10	-137.49	1.00
3609.375000	-9.92	-138.45	1.00
3656.250000	-9.77	-139.24	1.00
3703.125000	-9.64	-139.83	1.00
3750.000000	-9.45	-140.86	1.00
3796.875000	-9.41	-141.46	1.00
3843.750000	-9.23	-142.54	1.00
3890.625000	-9.15	-143.45	1.00
3937.500000	-9.00	-144.53	1.00
3984.375000	-8.85	-145.65	1.00
4031.250000	-8.77	-146.41	1.00
4078.125000	-8.64	-147.23	1.00
4125.000000	-8.54	-148.16	1.00
4171.875000	-8.49	-149.80	1.00
4218.750000	-8.39	-150.55	1.00
4265.625000	-8.28	-151.41	1.00
4312.500000	-8.19	-152.64	1.00
4359.375000	-8.15	-153.61	1.00
4406.250000	-8.07	-154.89	1.00
4453.125000	-8.02	-155.88	1.00
4500.000000	-7.92	-156.86	1.00
4593.750000	-7.84	-159.02	1.00
4687.500000	-7.76	-160.86	1.00
4781.250000	-7.74	-163.38	1.00
4875.000000	-7.62	-164.77	1.00
4968.750000	-7.62	-167.13	1.00
5062.500000	-7.64	-169.57	1.00
5156.250000	-7.73	-171.32	1.00
5250.000000	-7.65	-172.93	1.00
5343.750000	-7.74	-174.80	1.00
5437.500000	-7.76	-176.96	1.00
5531.250000	-7.80	-177.97	1.00
5625.000000	-7.89	179.98	1.00
5718.750000	-7.95	178.86	1.00
5812.500000	-8.04	176.97	1.00
5906.250000	-8.15	175.46	1.00
6000.000000	-8.22	174.54	1.00
6093.750000	-8.29	173.30	1.00
6187.500000	-8.41	172.15	1.00
6281.250000	-8.50	170.75	1.00
6375.000000	-8.60	169.96	1.00
6468.750000	-8.70	168.46	1.00
6562.500000	-8.83	167.80	1.00
6656.250000	-8.91	166.89	1.00
6750.000000	-9.01	166.18	1.00
6843.750000	-9.15	165.09	1.00
6937.500000	-9.26	164.51	1.00
7031.250000	-9.36	163.80	1.00
7125.000000	-9.44	163.11	1.00
7218.750000	-9.52	162.57	1.00
7312.500000	-9.63	161.76	1.00
7406.250000	-9.75	161.40	1.00
7500.000000	-9.85	160.78	1.00
7593.750000	-9.93	160.13	1.00
7687.500000	-10.04	159.88	1.00
7781.250000	-10.15	159.19	1.00
7875.000000	-10.21	158.88	1.00
7968.750000	-10.32	158.46	1.00
8062.500000	-10.44	158.02	1.00
8156.250000	-10.49	157.61	1.00
8250.000000	-10.57	157.23	1.00
8343.750000	-10.68	157.02	1.00
8437.500000	-10.73	156.78	1.00
8531.250000	-10.83	156.47	1.00
8625.000000	-10.92	155.98	1.00
8718.750000	-10.98	155.80	1.00
8812.500000	-11.06	155.56	1.00
8906.250000	-11.14	155.21	1.00
9000.000000	-11.21	155.01	1.00
9187.500000	-11.36	154.78	1.00
9375.000000	-11.49	154.33	1.00
9562.500000	-11.66	154.05	1.00
9750.000000	-11.78	153.71	1.00
9937.500000	-11.90	153.18	1.00
10125.000000	-12.05	152.97	1.00
10312.500000	-12.13	152.76	1.00
10500.000000	-12.24	152.53	1.00
10687.500000	-12.38	152.34	1.00
10875.000000	-12.46	152.12	1.00
11062.500000	-12.59	152.00	1.00
11250.000000	-12.66	151.87	1.00
11437.500000	-12.78	151.58	1.00
11625.000000	-12.85	151.47	1.00
11812.500000	-12.95	151.41	1.00
12000.000000	-13.05	151.32	1.00
12187.500000	-13.12	151.09	1.00
12375.000000	-13.18	151.17	1.00
12562.500000	-13.26	150.94	1.00
12750.000000	-13.37	150.83	1.00
12937.500000	-13.44	150.83	1.00
13125.000000	-13.49	150.74	1.00
13312.500000	-13.58	150.66	1.00
13500.000000	-13.64	150.60	1.00
13687.500000	-13.71	150.57	1.00
13875.000000	-13.76	150.51	1.00
14062.500000	-13.83	150.33	1.00
14250.000000	-13.89	150.33	1.00
14437.500000	-13.97	150.41	1.00
14625.000000	-14.02	150.30	1.00
14812.500000	-14.09	150.31	1.00
15000.000000	-14.14	150.19	1.00
15187.500000	-14.18	150.43	1.00
15375.000000	-14.23	150.09	1.00
15562.500000	-14.29	150.19	1.00
15750.000000	-14.34	150.10	1.00
15937.500000	-14.38	150.14	1.00
16125.000000	-14.45	150.04	1.00
16312.500000	-14.49	150.10	1.00
16500.000000	-14.54	150.05	1.00
16687.500000	-14.61	149.91	1.00
16875.000000	-14.64	149.95	1.00
17062.500000	-14.67	150.03	1.00
17250.000000	-14.72	149.91	1.00
17437.500000	-14.75	149.78	1.00
17625.000000	-14.81	149.79	1.00
17812.500000	-14.85	149.98	1.00
18000.000000	-14.90	149.96	1.00
18187.500000	-14.95	149.91	1.00
18375.000000	-14.99	149.82	1.00
18562.500000	-15.04	149.84	1.00
18750.000000	-15.04	149.77	1.00
18937.500000	-15.07	149.76	1.00
19125.000000	-15.11	149.75	1.00
19312.500000	-15.16	149.85	1.00
19500.000000	-15.20	149.73	1.00
19687.500000	-15.23	149.77	1.00
19875.000000	-15.28	149.75	1.00
20062.500000	-15.31	149.66	1.00
20250.000000	-15.34	149.62	1.00
20437.500000	-15.37	149.62	1.00
20625.000000	-15.41	149.53	1.00
20812.500000	-15.45	149.62	1.00
21000.000000	-15.46	149.55	1.00
21187.500000	-15.50	149.47	1.00
21375.000000	-15.54	149.52	1.00
21562.500000	-15.56	149.52	1.00
21750.000000	-15.60	149.53	1.00
21937.500000	-15.63	149.58	1.00
22125.000000	-15.65	149.51	1.00
22312.500000	-15.69	149.54	1.00
22500.000000	-15.70	149.49	1.00
22687.500000	-15.73	149.45	1.00
22875.000000	-15.74	149.40	1.00
23062.500000	-15.76	149.37	1.00
23250.000000	-15.84	149.53	1.00
23437.500000	-16.05	150.43	1.00
23625.000000	-16.58	153.08	1.00
23812.500000	-17.43	158.81	0.99
