	boost 30 Hz		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
2156.250000	-24.46	-179.67	1.00
2179.687500	-24.42	-179.72	1.00
2203.125000	-24.37	-179.41	1.00
2226.562500	-24.39	-179.23	1.00
2250.000000	-24.37	-178.52	1.00
2296.875000	-24.39	-179.24	1.00
2343.750000	-24.32	-179.12	1.00
2390.625000	-24.40	-179.04	1.00
2437.500000	-24.35	-178.84	1.00
2484.375000	-24.41	-179.47	1.00
2531.250000	-24.34	-178.87	1.00
2578.125000	-24.34	-178.76	1.00
2625.000000	-24.29	-178.76	1.00
2671.875000	-24.37	-178.80	1.00
2718.750000	-24.32	-178.69	1.00
2765.625000	-24.32	-178.74	1.00
2812.500000	-24.28	-178.03	1.00
2859.375000	-24.21	-178.54	1.00
2906.250000	-24.30	-178.13	1.00
2953.125000	-24.23	-178.44	1.00
3000.000000	-24.22	-178.22	1.00
3046.875000	-24.26	-178.31	1.00
3093.750000	-24.25	-178.46	1.00
3140.625000	-24.25	-178.01	1.00
3187.500000	-24.21	-178.13	1.00
3234.375000	-24.19	-177.92	1.00
3281.250000	-24.18	-178.16	1.00
3328.125000	-24.22	-177.83	1.00
3375.000000	-24.13	-178.20	1.00
3421.875000	-24.17	-177.84	1.00
3468.750000	-24.15	-178.06	1.00
3515.625000	-24.15	-177.35	1.00
3562.500000	-24.15	-178.09	1.00
3609.375000	-24.14	-177.66	1.00
3656.250000	-24.11	-177.81	1.00
3703.125000	-24.11	-177.89	1.00
3750.000000	-24.11	-177.78	1.00
3796.875000	-24.10	-177.84	1.00
3843.750000	-24.10	-177.68	1.00
3890.625000	-24.09	-177.65	1.00
3937.500000	-24.06	-177.79	1.00
3984.375000	-24.04	-177.62	1.00
4031.250000	-24.07	-177.77	1.00
4078.125000	-24.05	-177.68	1.00
4125.000000	-24.05	-177.71	1.00
4171.875000	-24.02	-177.55	1.00
4218.750000	-24.01	-177.93	1.00
4265.625000	-24.01	-177.60	1.00
4312.500000	-24.01	-177.60	1.00
4359.375000	-23.98	-177.51	1.00
4406.250000	-23.96	-177.68	1.00
4453.125000	-23.97	-177.69	1.00
4500.000000	-23.99	-177.66	1.00
