	bell 13k5 sharp		
74.707031	-24.72	-177.24	1.00
76.171875	-24.70	-177.35	1.00
77.636719	-24.74	-177.21	1.00
79.101562	-24.70	-177.33	1.00
80.566406	-24.70	-177.35	1.00
82.031250	-24.71	-177.25	1.00
83.496094	-24.71	-177.12	1.00
84.960938	-24.73	-177.19	1.00
86.425781	-24.72	-176.97	1.00
87.890625	-24.68	-177.37	1.00
89.355469	-24.73	-177.36	1.00
90.820312	-24.70	-177.23	1.00
92.285156	-24.70	-177.10	1.00
93.750000	-24.70	-177.15	1.00
95.214844	-24.70	-177.08	1.00
96.679688	-24.72	-177.12	1.00
98.144531	-24.72	-177.03	1.00
99.609375	-24.79	-176.93	1.00
101.074219	-24.73	-176.86	1.00
102.539062	-24.71	-177.01	1.00
104.003906	-24.71	-177.00	1.00
105.468750	-24.70	-177.06	1.00
106.933594	-24.70	-177.10	1.00
108.398438	-24.71	-176.92	1.00
109.863281	-24.70	-176.96	1.00
111.328125	-24.70	-176.92	1.00
112.792969	-24.69	-176.86	1.00
114.257812	-24.69	-176.84	1.00
115.722656	-24.70	-176.77	1.00
117.187500	-24.70	-176.72	1.00
118.652344	-24.70	-176.79	1.00
120.117188	-24.69	-176.76	1.00
121.582031	-24.71	-176.74	1.00
123.046875	-24.69	-176.77	1.00
124.511719	-24.70	-176.67	1.00
125.976562	-24.70	-176.59	1.00
127.441406	-24.70	-176.61	1.00
128.906250	-24.70	-176.64	1.00
130.371094	-24.69	-176.63	1.00
131.835938	-24.70	-176.55	1.00
133.300781	-24.70	-176.61	1.00
134.765625	-24.70	-176.62	1.00
136.230469	-24.70	-176.56	1.00
137.695312	-24.70	-176.58	1.00
139.160156	-24.70	-176.49	1.00
140.625000	-24.71	-176.49	1.00
143.554688	-24.71	-176.50	1.00
146.484375	-24.70	-176.42	1.00
149.414062	-24.68	-176.45	1.00
152.343750	-24.68	-176.27	1.00
155.273438	-24.70	-176.12	1.00
158.203125	-24.69	-176.15	1.00
161.132812	-24.69	-176.10	1.00
164.062500	-24.69	-176.06	1.00
166.992188	-24.69	-176.08	1.00
169.921875	-24.69	-175.99	1.00
172.851562	-24.68	-175.88	1.00
175.781250	-24.69	-175.86	1.00
178.710938	-24.69	-175.86	1.00
181.640625	-24.69	-175.76	1.00
184.570312	-24.67	-175.77	1.00
187.500000	-24.68	-175.71	1.00
190.429688	-24.69	-175.60	1.00
193.359375	-24.69	-175.56	1.00
196.289062	-24.69	-175.51	1.00
199.218750	-24.68	-175.56	1.00
202.148438	-24.69	-175.43	1.00
205.078125	-24.67	-175.32	1.00
208.007812	-24.68	-175.36	1.00
210.937500	-24.67	-175.34	1.00
213.867188	-24.67	-175.21	1.00
216.796875	-24.68	-175.17	1.00
219.726562	-24.68	-175.04	1.00
222.656250	-24.67	-175.02	1.00
225.585938	-24.67	-174.96	1.00
228.515625	-24.67	-174.90	1.00
231.445312	-24.67	-174.84	1.00
234.375000	-24.67	-174.82	1.00
237.304688	-24.66	-174.78	1.00
240.234375	-24.67	-174.73	1.00
243.164062	-24.67	-174.66	1.00
246.093750	-24.67	-174.63	1.00
249.023438	-24.66	-174.59	1.00
251.953125	-24.66	-174.57	1.00
254.882812	-24.67	-174.46	1.00
257.812500	-24.66	-174.37	1.00
260.742188	-24.66	-174.36	1.00
263.671875	-24.66	-174.27	1.00
266.601562	-24.67	-174.24	1.00
269.531250	-24.66	-174.16	1.00
272.460938	-24.66	-174.17	1.00
275.390625	-24.67	-174.21	1.00
278.320312	-24.65	-174.07	1.00
281.250000	-24.65	-173.97	1.00
287.109375	-24.65	-173.83	1.00
292.968750	-24.64	-173.72	1.00
298.828125	-24.63	-173.66	1.00
304.687500	-24.64	-173.53	1.00
310.546875	-24.65	-173.42	1.00
316.406250	-24.63	-173.36	1.00
322.265625	-24.65	-173.27	1.00
328.125000	-24.63	-172.98	1.00
333.984375	-24.63	-172.97	1.00
339.843750	-24.64	-172.83	1.00
345.703125	-24.64	-172.79	1.00
351.562500	-24.62	-172.60	1.00
357.421875	-24.61	-172.47	1.00
363.281250	-24.62	-172.41	1.00
369.140625	-24.61	-172.24	1.00
375.000000	-24.61	-172.10	1.00
380.859375	-24.60	-171.97	1.00
386.718750	-24.61	-171.94	1.00
392.578125	-24.60	-171.85	1.00
398.437500	-24.60	-171.68	1.00
404.296875	-24.60	-171.62	1.00
410.156250	-24.60	-171.58	1.00
416.015625	-24.58	-171.39	1.00
421.875000	-24.58	-171.23	1.00
427.734375	-24.58	-171.19	1.00
433.593750	-24.58	-171.04	1.00
439.453125	-24.57	-170.94	1.00
445.312500	-24.58	-170.80	1.00
451.171875	-24.56	-170.76	1.00
457.031250	-24.57	-170.61	1.00
462.890625	-24.56	-170.44	1.00
468.750000	-24.54	-170.42	1.00
474.609375	-24.56	-170.26	1.00
480.468750	-24.56	-170.15	1.00
486.328125	-24.57	-169.98	1.00
492.187500	-24.54	-169.92	1.00
498.046875	-24.54	-169.83	1.00
503.906250	-24.54	-169.70	1.00
509.765625	-24.55	-169.53	1.00
515.625000	-24.53	-169.50	1.00
521.484375	-24.52	-169.31	1.00
527.343750	-24.52	-169.18	1.00
533.203125	-24.51	-169.17	1.00
539.062500	-24.51	-169.06	1.00
544.921875	-24.50	-168.89	1.00
550.781250	-24.50	-168.84	1.00
556.640625	-24.49	-168.70	1.00
562.500000	-24.49	-168.58	1.00
574.218750	-24.49	-168.38	1.00
585.937500	-24.47	-168.10	1.00
597.656250	-24.47	-167.94	1.00
609.375000	-24.46	-167.71	1.00
621.093750	-24.46	-167.45	1.00
632.812500	-24.43	-167.23	1.00
644.531250	-24.45	-167.14	1.00
656.250000	-24.42	-166.85	1.00
667.968750	-24.41	-166.59	1.00
679.687500	-24.40	-166.25	1.00
691.406250	-24.39	-166.20	1.00
703.125000	-24.38	-165.80	1.00
714.843750	-24.37	-165.75	1.00
726.562500	-24.35	-165.62	1.00
738.281250	-24.35	-165.25	1.00
750.000000	-24.34	-165.10	1.00
761.718750	-24.33	-164.91	1.00
773.437500	-24.34	-164.64	1.00
785.156250	-24.33	-164.21	1.00
796.875000	-24.30	-164.12	1.00
808.593750	-24.28	-163.98	1.00
820.312500	-24.29	-163.76	1.00
832.031250	-24.26	-163.53	1.00
843.750000	-24.26	-163.26	1.00
855.468750	-24.24	-163.07	1.00
867.187500	-24.24	-162.89	1.00
878.906250	-24.22	-162.69	1.00
890.625000	-24.20	-162.46	1.00
902.343750	-24.19	-162.25	1.00
914.062500	-24.19	-162.00	1.00
925.781250	-24.17	-161.86	1.00
937.500000	-24.14	-161.60	1.00
949.218750	-24.14	-161.33	1.00
960.937500	-24.12	-161.24	1.00
972.656250	-24.12	-161.00	1.00
984.375000	-24.09	-160.74	1.00
996.093750	-24.09	-160.63	1.00
1007.812500	-24.06	-160.41	1.00
1019.531250	-24.05	-160.19	1.00
1031.250000	-24.04	-160.01	1.00
1042.968750	-24.03	-159.79	1.00
1054.687500	-24.02	-159.58	1.00
1066.406250	-23.99	-159.29	1.00
1078.125000	-23.96	-159.17	1.00
1089.843750	-23.96	-158.95	1.00
1101.562500	-23.95	-158.69	1.00
1113.281250	-23.94	-158.65	1.00
1125.000000	-23.92	-158.31	1.00
1148.437500	-23.88	-157.91	1.00
1171.875000	-23.85	-157.74	1.00
1195.312500	-23.88	-157.24	1.00
1218.750000	-23.80	-156.87	1.00
1242.187500	-23.75	-156.38	1.00
1265.625000	-23.73	-156.09	1.00
1289.062500	-23.70	-155.70	1.00
1312.500000	-23.67	-155.10	1.00
1335.937500	-23.62	-154.89	1.00
1359.375000	-23.61	-154.78	1.00
1382.812500	-23.55	-154.27	1.00
1406.250000	-23.56	-153.89	1.00
1429.687500	-23.50	-153.67	1.00
1453.125000	-23.50	-152.82	1.00
1476.562500	-23.46	-152.61	1.00
1500.000000	-23.37	-152.39	1.00
1523.437500	-23.36	-151.90	1.00
1546.875000	-23.32	-151.78	1.00
1570.312500	-23.28	-151.22	1.00
1593.750000	-23.24	-150.99	1.00
1617.187500	-23.23	-150.73	1.00
1640.625000	-23.16	-150.40	1.00
1664.062500	-23.14	-149.93	1.00
1687.500000	-23.10	-149.74	1.00
1710.937500	-23.04	-149.25	1.00
1734.375000	-23.00	-148.59	1.00
1757.812500	-22.96	-148.75	1.00
1781.250000	-22.90	-148.31	1.00
1804.687500	-22.89	-148.14	1.00
1828.125000	-22.86	-147.53	1.00
1851.562500	-22.82	-147.48	1.00
1875.000000	-22.77	-147.04	1.00
1898.437500	-22.73	-146.60	1.00
1921.875000	-22.68	-146.37	1.00
1945.312500	-22.67	-146.27	1.00
1968.750000	-22.60	-145.91	1.00
1992.187500	-22.56	-145.41	1.00
2015.625000	-22.50	-145.30	1.00
2039.062500	-22.49	-145.09	1.00
2062.500000	-22.43	-144.64	1.00
2085.937500	-22.39	-144.35	1.00
2109.375000	-22.32	-144.09	1.00
2132.812500	-22.30	-143.90	1.00
2156.250000	-22.24	-143.70	1.00
2179.687500	-22.23	-143.35	1.00
2203.125000	-22.19	-143.15	1.00
2226.562500	-22.16	-142.88	1.00
2250.000000	-22.12	-142.31	1.00
2296.875000	-22.04	-142.04	1.00
2343.750000	-21.90	-141.73	1.00
2390.625000	-21.85	-141.14	1.00
2437.500000	-21.77	-140.46	1.00
2484.375000	-21.63	-140.30	1.00
2531.250000	-21.59	-139.60	1.00
2578.125000	-21.45	-139.12	1.00
2625.000000	-21.39	-138.68	1.00
2671.875000	-21.30	-138.15	1.00
2718.750000	-21.20	-137.90	1.00
2765.625000	-21.11	-137.41	1.00
2812.500000	-21.02	-137.38	1.00
2859.375000	-20.90	-136.50	1.00
2906.250000	-20.84	-136.38	1.00
2953.125000	-20.74	-136.07	1.00
3000.000000	-20.63	-135.86	1.00
3046.875000	-20.54	-135.25	1.00
3093.750000	-20.48	-134.96	1.00
3140.625000	-20.38	-134.75	1.00
3187.500000	-20.27	-134.16	1.00
3234.375000	-20.14	-133.87	1.00
3281.250000	-20.09	-133.68	1.00
3328.125000	-19.97	-133.49	1.00
3375.000000	-19.91	-133.12	1.00
3421.875000	-19.86	-132.43	1.00
3468.750000	-19.73	-132.57	1.00
3515.625000	-19.63	-132.39	1.00
3562.500000	-19.53	-132.13	1.00
3609.375000	-19.44	-131.83	1.00
3656.250000	-19.34	-131.62	1.00
3703.125000	-19.26	-131.49	1.00
3750.000000	-19.16	-130.88	1.00
3796.875000	-19.05	-131.08	1.00
3843.750000	-18.95	-130.70	1.00
3890.625000	-18.92	-130.51	1.00
3937.500000	-18.81	-130.33	1.00
3984.375000	-18.69	-130.16	1.00
4031.250000	-18.60	-129.88	1.00
4078.125000	-18.56	-129.88	1.00
4125.000000	-18.46	-129.50	1.00
4171.875000	-18.36	-129.63	1.00
4218.750000	-18.25	-129.38	1.00
4265.625000	-18.14	-129.09	1.00
4312.500000	-18.04	-128.67	1.00
4359.375000	-17.95	-128.89	1.00
4406.250000	-17.89	-128.82	1.00
4453.125000	-17.82	-128.70	1.00
4500.000000	-17.75	-128.43	1.00
4593.750000	-17.50	-128.27	1.00
4687.500000	-17.42	-128.03	1.00
4781.250000	-17.18	-128.13	1.00
4875.000000	-17.01	-127.58	1.00
4968.750000	-16.85	-127.28	1.00
5062.500000	-16.64	-127.87	1.00
5156.250000	-16.50	-127.95	1.00
5250.000000	-16.34	-127.66	1.00
5343.750000	-16.16	-127.68	1.00
5437.500000	-15.93	-127.76	1.00
5531.250000	-15.82	-127.71	1.00
5625.000000	-15.64	-127.79	1.00
5718.750000	-15.49	-127.60	1.00
5812.500000	-15.34	-127.98	1.00
5906.250000	-15.17	-127.99	1.00
6000.000000	-15.00	-127.89	1.00
6093.750000	-14.84	-128.17	1.00
6187.500000	-14.69	-128.43	1.00
6281.250000	-14.54	-128.71	1.00
6375.000000	-14.38	-128.62	1.00
6468.750000	-14.22	-129.21	1.00
6562.500000	-14.11	-129.22	1.00
6656.250000	-13.94	-129.59	1.00
6750.000000	-13.79	-129.80	1.00
6843.750000	-13.64	-130.31	1.00
6937.500000	-13.53	-130.50	1.00
7031.250000	-13.35	-130.77	1.00
7125.000000	-13.21	-131.12	1.00
7218.750000	-13.10	-131.32	1.00
7312.500000	-12.95	-131.79	1.00
7406.250000	-12.82	-132.16	1.00
7500.000000	-12.69	-132.64	1.00
7593.750000	-12.54	-133.08	1.00
7687.500000	-12.46	-133.36	1.00
7781.250000	-12.31	-133.97	1.00
7875.000000	-12.17	-134.22	1.00
7968.750000	-12.06	-134.76	1.00
8062.500000	-11.95	-135.42	1.00
8156.250000	-11.83	-135.98	1.00
8250.000000	-11.70	-136.38	1.00
8343.750000	-11.58	-136.78	1.00
8437.500000	-11.46	-137.24	1.00
8531.250000	-11.38	-137.92	1.00
8625.000000	-11.28	-138.62	1.00
8718.750000	-11.19	-138.97	1.00
8812.500000	-11.09	-139.53	1.00
8906.250000	-10.98	-140.15	1.00
9000.000000	-10.87	-140.81	1.00
9187.500000	-10.72	-141.89	1.00
9375.000000	-10.52	-142.97	1.00
9562.500000	-10.37	-144.41	1.00
9750.000000	-10.27	-145.59	1.00
9937.500000	-10.09	-146.91	1.00
10125.000000	-9.93	-148.20	1.00
10312.500000	-9.82	-149.38	1.00
10500.000000	-9.70	-150.75	1.00
10687.500000	-9.58	-152.10	1.00
10875.000000	-9.51	-153.48	1.00
11062.500000	-9.42	-154.83	1.00
11250.000000	-9.32	-156.10	1.00
11437.500000	-9.29	-157.29	1.00
11625.000000	-9.21	-158.59	1.00
11812.500000	-9.16	-159.66	1.00
12000.000000	-9.12	-161.23	1.00
12187.500000	-9.06	-162.32	1.00
12375.000000	-9.04	-163.31	1.00
12562.500000	-9.01	-164.66	1.00
12750.000000	-9.02	-165.95	1.00
12937.500000	-8.96	-167.02	1.00
13125.000000	-8.99	-168.16	1.00
13312.500000	-8.99	-169.26	1.00
13500.000000	-8.98	-170.43	1.00
13687.500000	-8.98	-171.19	1.00
13875.000000	-9.00	-172.35	1.00
14062.500000	-9.00	-173.45	1.00
14250.000000	-9.04	-174.25	1.00
14437.500000	-9.06	-175.17	1.00
14625.000000	-9.09	-176.16	1.00
14812.500000	-9.13	-177.07	1.00
15000.000000	-9.13	-177.83	1.00
15187.500000	-9.17	-178.58	1.00
15375.000000	-9.19	-179.37	1.00
15562.500000	-9.24	179.63	1.00
15750.000000	-9.27	178.88	1.00
15937.500000	-9.31	178.30	1.00
16125.000000	-9.37	177.50	1.00
16312.500000	-9.37	176.82	1.00
16500.000000	-9.42	176.11	1.00
16687.500000	-9.46	175.45	1.00
16875.000000	-9.51	174.82	1.00
17062.500000	-9.56	174.22	1.00
17250.000000	-9.59	173.58	1.00
17437.500000	-9.64	172.82	1.00
17625.000000	-9.70	172.34	1.00
17812.500000	-9.74	171.87	1.00
18000.000000	-9.79	171.35	1.00
18187.500000	-9.83	170.84	1.00
18375.000000	-9.88	170.28	1.00
18562.500000	-9.93	169.78	1.00
18750.000000	-9.96	169.34	1.00
18937.500000	-10.00	168.90	1.00
19125.000000	-10.04	168.43	1.00
19312.500000	-10.11	168.04	1.00
19500.000000	-10.15	167.48	1.00
19687.500000	-10.20	167.14	1.00
19875.000000	-10.25	166.70	1.00
20062.500000	-10.29	166.30	1.00
20250.000000	-10.33	165.93	1.00
20437.500000	-10.37	165.56	1.00
20625.000000	-10.41	165.17	1.00
20812.500000	-10.47	164.85	1.00
21000.000000	-10.50	164.57	1.00
21187.500000	-10.55	164.15	1.00
21375.000000	-10.60	163.80	1.00
21562.500000	-10.64	163.52	1.00
21750.000000	-10.68	163.20	1.00
21937.500000	-10.72	162.87	1.00
22125.000000	-10.76	162.52	1.00
22312.500000	-10.80	162.27	1.00
22500.000000	-10.84	161.99	1.00
22687.500000	-10.88	161.68	1.00
22875.000000	-10.92	161.40	1.00
23062.500000	-10.96	161.07	1.00
23250.000000	-11.02	160.98	1.00
23437.500000	-11.17	161.43	1.00
23625.000000	-11.50	163.38	1.00
23812.500000	-11.98	167.36	1.00
