	att 10k		
254.882812	-24.93	169.49	1.00
257.812500	-24.93	169.38	1.00
260.742188	-24.92	169.28	1.00
263.671875	-24.93	169.37	1.00
266.601562	-24.96	169.16	1.00
269.531250	-24.96	168.99	1.00
272.460938	-24.96	168.86	1.00
275.390625	-24.96	168.72	1.00
278.320312	-24.96	168.70	1.00
281.250000	-24.96	168.56	1.00
287.109375	-24.98	168.45	1.00
292.968750	-24.98	168.02	1.00
298.828125	-24.98	167.86	1.00
304.687500	-25.03	167.68	1.00
310.546875	-25.02	167.40	1.00
316.406250	-25.04	167.27	1.00
322.265625	-25.05	167.13	1.00
328.125000	-25.01	166.72	1.00
333.984375	-25.08	166.53	1.00
339.843750	-25.08	166.30	1.00
345.703125	-25.13	166.20	1.00
351.562500	-25.10	165.83	1.00
357.421875	-25.12	165.63	1.00
363.281250	-25.14	165.34	1.00
369.140625	-25.14	165.05	1.00
375.000000	-25.16	164.81	1.00
380.859375	-25.19	164.74	1.00
386.718750	-25.19	164.55	1.00
392.578125	-25.19	164.21	1.00
398.437500	-25.20	164.03	1.00
404.296875	-25.21	163.75	1.00
410.156250	-25.23	163.66	1.00
416.015625	-25.26	163.42	1.00
421.875000	-25.27	163.22	1.00
427.734375	-25.25	162.92	1.00
433.593750	-25.29	162.68	1.00
439.453125	-25.29	162.53	1.00
445.312500	-25.32	162.35	1.00
451.171875	-25.35	162.17	1.00
457.031250	-25.35	161.94	1.00
462.890625	-25.37	161.61	1.00
468.750000	-25.39	161.48	1.00
474.609375	-25.39	161.31	1.00
480.468750	-25.37	161.09	1.00
486.328125	-25.41	160.80	1.00
492.187500	-25.46	160.57	1.00
498.046875	-25.46	160.46	1.00
503.906250	-25.49	160.03	1.00
509.765625	-25.50	159.97	1.00
515.625000	-25.50	159.88	1.00
521.484375	-25.51	159.65	1.00
527.343750	-25.53	159.56	1.00
533.203125	-25.55	159.31	1.00
539.062500	-25.57	159.11	1.00
544.921875	-25.58	158.92	1.00
550.781250	-25.59	158.54	1.00
556.640625	-25.63	158.45	1.00
562.500000	-25.65	158.30	1.00
574.218750	-25.66	157.89	1.00
585.937500	-25.68	157.56	1.00
597.656250	-25.75	157.12	1.00
609.375000	-25.76	156.88	1.00
621.093750	-25.79	156.40	1.00
632.812500	-25.83	156.26	1.00
644.531250	-25.89	155.86	1.00
656.250000	-25.93	155.36	1.00
667.968750	-25.94	154.94	1.00
679.687500	-25.99	154.71	1.00
691.406250	-25.99	154.47	1.00
703.125000	-26.03	153.97	1.00
714.843750	-26.10	153.98	1.00
726.562500	-26.15	153.41	1.00
738.281250	-26.19	153.14	1.00
750.000000	-26.21	152.77	1.00
761.718750	-26.24	152.63	1.00
773.437500	-26.30	152.02	1.00
785.156250	-26.33	151.77	1.00
796.875000	-26.34	151.42	1.00
808.593750	-26.40	151.26	1.00
820.312500	-26.46	150.92	1.00
832.031250	-26.51	150.28	1.00
843.750000	-26.50	150.48	1.00
855.468750	-26.57	150.01	1.00
867.187500	-26.61	149.91	1.00
878.906250	-26.63	149.44	1.00
890.625000	-26.72	149.36	1.00
902.343750	-26.73	148.76	1.00
914.062500	-26.76	148.75	1.00
925.781250	-26.78	148.29	1.00
937.500000	-26.83	147.86	1.00
949.218750	-26.87	147.70	1.00
960.937500	-26.94	147.50	1.00
972.656250	-26.96	147.20	1.00
984.375000	-27.00	146.89	1.00
996.093750	-27.04	146.85	1.00
1007.812500	-27.04	146.71	1.00
1019.531250	-27.10	146.27	1.00
1031.250000	-27.15	145.97	1.00
1042.968750	-27.17	145.80	1.00
1054.687500	-27.25	145.59	1.00
1066.406250	-27.27	145.30	1.00
1078.125000	-27.33	145.19	1.00
1089.843750	-27.35	145.02	1.00
1101.562500	-27.42	144.63	1.00
1113.281250	-27.46	144.41	1.00
1125.000000	-27.48	144.21	1.00
1148.437500	-27.55	143.85	1.00
1171.875000	-27.66	143.24	1.00
1195.312500	-27.70	142.51	1.00
1218.750000	-27.74	143.02	1.00
1242.187500	-27.85	142.00	1.00
1265.625000	-27.95	141.64	1.00
1289.062500	-28.08	141.61	0.99
1312.500000	-28.07	140.83	1.00
1335.937500	-28.19	140.98	1.00
1359.375000	-28.28	140.36	1.00
1382.812500	-28.35	140.05	1.00
1406.250000	-28.46	139.91	1.00
1429.687500	-28.55	139.36	1.00
1453.125000	-28.57	139.15	1.00
1476.562500	-28.67	138.99	1.00
1500.000000	-28.76	138.42	1.00
1523.437500	-28.94	138.00	1.00
1546.875000	-28.86	137.75	1.00
1570.312500	-28.96	138.26	1.00
1593.750000	-29.02	137.55	1.00
1617.187500	-29.17	137.38	1.00
1640.625000	-29.16	136.90	1.00
1664.062500	-29.30	136.91	1.00
1687.500000	-29.31	136.49	1.00
1710.937500	-29.43	136.11	1.00
1734.375000	-29.47	136.25	1.00
1757.812500	-29.54	136.07	1.00
1781.250000	-29.63	135.54	1.00
1804.687500	-29.71	135.47	1.00
1828.125000	-29.77	135.42	1.00
1851.562500	-29.82	134.93	1.00
1875.000000	-29.92	134.99	1.00
1898.437500	-29.96	134.74	1.00
1921.875000	-30.05	134.30	1.00
1945.312500	-30.14	134.32	1.00
1968.750000	-30.19	134.11	1.00
1992.187500	-30.24	134.30	1.00
2015.625000	-30.30	133.93	1.00
2039.062500	-30.38	133.71	1.00
2062.500000	-30.48	133.57	1.00
2085.937500	-30.51	133.29	1.00
2109.375000	-30.57	133.24	0.99
2132.812500	-30.60	132.97	1.00
2156.250000	-30.72	133.05	1.00
2179.687500	-30.77	132.99	0.99
2203.125000	-30.82	133.21	0.99
2226.562500	-30.88	132.76	1.00
2250.000000	-31.00	132.49	1.00
2296.875000	-31.14	132.29	1.00
2343.750000	-31.21	132.20	1.00
2390.625000	-31.36	131.61	1.00
2437.500000	-31.43	131.36	1.00
2484.375000	-31.57	131.79	1.00
2531.250000	-31.68	131.52	1.00
2578.125000	-31.71	130.77	1.00
2625.000000	-31.91	131.33	1.00
2671.875000	-31.97	130.73	1.00
2718.750000	-32.13	130.70	1.00
2765.625000	-32.19	130.51	1.00
2812.500000	-32.32	130.44	1.00
2859.375000	-32.37	130.55	1.00
2906.250000	-32.53	130.99	1.00
2953.125000	-32.56	130.21	1.00
3000.000000	-32.70	130.18	1.00
3046.875000	-32.83	129.81	1.00
3093.750000	-32.87	130.21	1.00
3140.625000	-32.97	129.89	0.99
3187.500000	-33.09	129.75	1.00
3234.375000	-33.17	129.58	1.00
3281.250000	-33.28	129.46	1.00
3328.125000	-33.32	129.86	1.00
3375.000000	-33.68	129.55	1.00
3421.875000	-33.55	129.58	1.00
3468.750000	-33.63	128.85	1.00
3515.625000	-33.73	129.62	1.00
3562.500000	-33.85	129.42	1.00
3609.375000	-33.81	129.35	1.00
3656.250000	-33.91	129.55	1.00
3703.125000	-33.96	129.73	0.99
3750.000000	-34.08	129.82	1.00
3796.875000	-34.18	129.19	1.00
3843.750000	-34.27	129.39	1.00
3890.625000	-34.38	129.33	1.00
3937.500000	-34.38	129.51	1.00
3984.375000	-34.59	129.49	1.00
4031.250000	-34.60	129.59	1.00
4078.125000	-34.68	130.02	1.00
4125.000000	-34.74	129.33	1.00
4171.875000	-34.72	129.87	1.00
4218.750000	-34.81	129.52	1.00
4265.625000	-34.82	128.61	1.00
4312.500000	-34.92	129.51	1.00
4359.375000	-35.03	129.38	1.00
4406.250000	-35.12	129.45	1.00
4453.125000	-35.15	129.41	1.00
4500.000000	-35.22	129.38	1.00
4593.750000	-35.34	129.68	1.00
4687.500000	-35.52	129.42	1.00
4781.250000	-35.64	130.19	1.00
4875.000000	-35.76	129.42	1.00
4968.750000	-35.86	129.92	1.00
5062.500000	-35.92	129.55	1.00
5156.250000	-36.07	130.18	1.00
5250.000000	-36.13	130.42	1.00
5343.750000	-36.21	130.27	1.00
5437.500000	-36.41	130.24	1.00
5531.250000	-36.54	130.37	0.99
5625.000000	-36.57	130.66	1.00
5718.750000	-36.66	130.83	1.00
5812.500000	-36.82	130.25	1.00
5906.250000	-36.92	131.07	1.00
6000.000000	-37.02	130.76	1.00
6093.750000	-37.03	131.19	1.00
6187.500000	-37.10	131.00	1.00
6281.250000	-37.26	131.88	1.00
6375.000000	-37.42	131.62	1.00
6468.750000	-37.41	131.17	1.00
6562.500000	-37.55	131.32	1.00
6656.250000	-37.59	132.34	1.00
6750.000000	-37.65	131.81	1.00
6843.750000	-37.80	132.09	1.00
6937.500000	-37.89	132.18	1.00
7031.250000	-37.92	132.43	1.00
7125.000000	-38.03	132.95	1.00
7218.750000	-38.05	132.67	1.00
7312.500000	-38.19	132.11	1.00
7406.250000	-38.26	132.65	1.00
7500.000000	-38.38	132.98	1.00
7593.750000	-38.33	133.34	1.00
7687.500000	-38.38	133.28	1.00
7781.250000	-38.44	133.59	1.00
7875.000000	-38.53	133.56	1.00
7968.750000	-38.70	133.52	1.00
8062.500000	-38.69	133.52	1.00
8156.250000	-38.80	133.97	1.00
8250.000000	-38.87	134.07	1.00
8343.750000	-38.84	134.18	1.00
8437.500000	-38.88	134.09	1.00
8531.250000	-39.02	134.70	1.00
8625.000000	-39.08	134.59	1.00
8718.750000	-39.17	134.71	1.00
8812.500000	-39.25	134.75	1.00
8906.250000	-39.23	135.28	1.00
9000.000000	-39.20	135.12	1.00
9187.500000	-39.41	135.44	1.00
9375.000000	-39.56	136.55	0.99
9562.500000	-39.54	135.91	1.00
9750.000000	-39.72	136.47	0.99
9937.500000	-39.76	137.40	1.00
10125.000000	-39.90	136.67	1.00
10312.500000	-40.13	137.80	0.99
10500.000000	-40.16	138.02	1.00
10687.500000	-40.23	137.71	1.00
10875.000000	-40.26	138.29	1.00
11062.500000	-40.37	138.99	1.00
11250.000000	-40.44	139.16	1.00
11437.500000	-40.60	139.07	0.99
11625.000000	-40.63	139.23	1.00
11812.500000	-40.67	139.76	1.00
12000.000000	-40.76	140.08	1.00
12187.500000	-40.80	141.05	1.00
12375.000000	-40.94	139.92	1.00
12562.500000	-41.01	140.14	0.99
12750.000000	-41.10	141.02	0.99
12937.500000	-40.99	141.10	1.00
13125.000000	-41.28	141.30	1.00
13312.500000	-41.29	141.68	1.00
13500.000000	-41.32	142.65	1.00
13687.500000	-41.26	142.88	1.00
13875.000000	-41.39	143.12	1.00
14062.500000	-41.41	143.20	1.00
14250.000000	-41.50	142.81	1.00
14437.500000	-41.66	143.78	1.00
14625.000000	-41.67	144.00	1.00
14812.500000	-41.71	144.09	1.00
15000.000000	-41.81	144.96	1.00
15187.500000	-41.88	144.60	0.99
15375.000000	-41.76	144.88	1.00
15562.500000	-41.91	145.07	1.00
15750.000000	-42.01	145.43	1.00
15937.500000	-41.95	145.30	1.00
16125.000000	-41.99	145.95	1.00
16312.500000	-42.02	146.13	1.00
16500.000000	-42.06	146.41	1.00
16687.500000	-42.15	147.10	1.00
16875.000000	-42.17	147.36	1.00
17062.500000	-42.31	146.84	1.00
17250.000000	-42.30	147.54	1.00
17437.500000	-42.34	147.85	1.00
17625.000000	-42.28	147.84	1.00
17812.500000	-42.47	148.52	1.00
18000.000000	-42.45	148.70	1.00
18187.500000	-42.40	148.55	1.00
18375.000000	-42.55	149.15	1.00
18562.500000	-42.59	149.73	0.99
18750.000000	-42.52	149.46	1.00
18937.500000	-42.60	149.77	0.99
19125.000000	-42.71	150.18	1.00
19312.500000	-42.72	150.14	1.00
19500.000000	-42.79	150.17	1.00
19687.500000	-42.74	150.71	0.99
19875.000000	-42.76	151.01	1.00
20062.500000	-42.73	151.22	1.00
20250.000000	-42.84	151.20	1.00
20437.500000	-42.87	151.29	1.00
20625.000000	-42.87	151.83	1.00
20812.500000	-42.81	151.73	0.99
21000.000000	-42.81	151.99	1.00
21187.500000	-42.98	152.19	0.99
21375.000000	-42.97	152.47	0.99
21562.500000	-43.06	152.42	0.99
21750.000000	-43.03	152.64	0.99
21937.500000	-43.07	152.95	0.99
22125.000000	-43.14	153.60	0.99
22312.500000	-43.13	153.33	0.99
22500.000000	-43.05	153.43	0.99
22687.500000	-43.13	153.91	0.99
22875.000000	-43.21	154.32	0.99
23062.500000	-43.22	154.28	0.99
23250.000000	-43.22	154.64	0.99
23437.500000	-43.29	155.46	0.99
23625.000000	-43.68	158.66	0.99
23812.500000	-44.16	165.14	0.98
