	rta plana		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
5437.500000	-23.80	-176.62	1.00
5531.250000	-23.79	-176.67	1.00
5625.000000	-23.78	-176.66	1.00
5718.750000	-23.77	-176.75	1.00
5812.500000	-23.75	-176.78	1.00
5906.250000	-23.74	-176.83	1.00
6000.000000	-23.73	-176.88	1.00
6093.750000	-23.72	-176.89	1.00
6187.500000	-23.72	-176.90	1.00
6281.250000	-23.70	-177.06	1.00
6375.000000	-23.70	-177.05	1.00
6468.750000	-23.68	-177.10	1.00
6562.500000	-23.67	-177.13	1.00
6656.250000	-23.66	-177.20	1.00
6750.000000	-23.66	-177.26	1.00
6843.750000	-23.65	-177.35	1.00
6937.500000	-23.64	-177.35	1.00
7031.250000	-23.64	-177.41	1.00
7125.000000	-23.62	-177.54	1.00
7218.750000	-23.62	-177.55	1.00
7312.500000	-23.61	-177.57	1.00
7406.250000	-23.60	-177.64	1.00
7500.000000	-23.59	-177.68	1.00
7593.750000	-23.59	-177.76	1.00
7687.500000	-23.58	-177.81	1.00
7781.250000	-23.58	-177.86	1.00
7875.000000	-23.57	-177.89	1.00
7968.750000	-23.56	-177.94	1.00
8062.500000	-23.56	-177.97	1.00
8156.250000	-23.56	-178.01	1.00
8250.000000	-23.55	-178.07	1.00
8343.750000	-23.54	-178.12	1.00
8437.500000	-23.54	-178.18	1.00
8531.250000	-23.53	-178.24	1.00
8625.000000	-23.52	-178.28	1.00
8718.750000	-23.52	-178.33	1.00
8812.500000	-23.52	-178.41	1.00
8906.250000	-23.51	-178.44	1.00
9000.000000	-23.51	-178.47	1.00
9187.500000	-23.50	-178.58	1.00
9375.000000	-23.49	-178.71	1.00
9562.500000	-23.48	-178.80	1.00
9750.000000	-23.47	-178.87	1.00
9937.500000	-23.47	-178.97	1.00
10125.000000	-23.46	-179.10	1.00
10312.500000	-23.45	-179.14	1.00
10500.000000	-23.45	-179.26	1.00
10687.500000	-23.45	-179.32	1.00
10875.000000	-23.44	-179.46	1.00
11062.500000	-23.43	-179.55	1.00
11250.000000	-23.43	-179.57	1.00
11437.500000	-23.42	-179.71	1.00
11625.000000	-23.42	-179.79	1.00
11812.500000	-23.41	-179.88	1.00
12000.000000	-23.41	-179.99	1.00
12187.500000	-23.41	179.94	1.00
12375.000000	-23.40	179.88	1.00
12562.500000	-23.40	179.77	1.00
12750.000000	-23.39	179.71	1.00
12937.500000	-23.39	179.59	1.00
13125.000000	-23.39	179.51	1.00
13312.500000	-23.38	179.41	1.00
13500.000000	-23.38	179.34	1.00
13687.500000	-23.37	179.28	1.00
13875.000000	-23.37	179.20	1.00
14062.500000	-23.38	179.10	1.00
14250.000000	-23.38	179.01	1.00
14437.500000	-23.38	178.95	1.00
14625.000000	-23.37	178.87	1.00
14812.500000	-23.37	178.80	1.00
15000.000000	-23.36	178.70	1.00
15187.500000	-23.36	178.62	1.00
15375.000000	-23.36	178.58	1.00
15562.500000	-23.36	178.50	1.00
15750.000000	-23.36	178.41	1.00
15937.500000	-23.36	178.33	1.00
16125.000000	-23.36	178.27	1.00
16312.500000	-23.35	178.19	1.00
16500.000000	-23.36	178.09	1.00
16687.500000	-23.35	178.04	1.00
16875.000000	-23.36	177.98	1.00
17062.500000	-23.35	177.92	1.00
17250.000000	-23.35	177.85	1.00
17437.500000	-23.35	177.76	1.00
17625.000000	-23.35	177.71	1.00
17812.500000	-23.35	177.65	1.00
18000.000000	-23.35	177.55	1.00
18187.500000	-23.35	177.46	1.00
18375.000000	-23.35	177.39	1.00
18562.500000	-23.35	177.36	1.00
18750.000000	-23.35	177.29	1.00
18937.500000	-23.35	177.24	1.00
19125.000000	-23.35	177.16	1.00
19312.500000	-23.35	177.08	1.00
19500.000000	-23.35	177.01	1.00
19687.500000	-23.35	176.96	1.00
19875.000000	-23.34	176.87	1.00
20062.500000	-23.35	176.81	1.00
20250.000000	-23.34	176.77	1.00
20437.500000	-23.34	176.69	1.00
20625.000000	-23.35	176.62	1.00
20812.500000	-23.35	176.56	1.00
21000.000000	-23.35	176.50	1.00
21187.500000	-23.35	176.44	1.00
21375.000000	-23.35	176.37	1.00
21562.500000	-23.35	176.29	1.00
21750.000000	-23.35	176.24	1.00
21937.500000	-23.35	176.17	1.00
22125.000000	-23.35	176.11	1.00
22312.500000	-23.36	176.04	1.00
22500.000000	-23.35	175.98	1.00
22687.500000	-23.35	175.92	1.00
22875.000000	-23.35	175.86	1.00
23062.500000	-23.35	175.80	1.00
23250.000000	-23.36	175.78	1.00
23437.500000	-23.37	175.91	1.00
23625.000000	-23.41	176.45	1.00
23812.500000	-23.48	177.56	1.00
