	att 30 Hz		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
2390.625000	-24.07	-162.37	1.00
2437.500000	-24.07	-162.67	1.00
2484.375000	-23.99	-162.93	1.00
2531.250000	-23.97	-163.26	1.00
2578.125000	-23.96	-163.52	1.00
2625.000000	-23.95	-163.72	1.00
2671.875000	-23.90	-164.16	1.00
2718.750000	-23.87	-164.11	1.00
2765.625000	-23.87	-164.55	1.00
2812.500000	-23.83	-164.80	1.00
2859.375000	-23.81	-165.01	1.00
2906.250000	-23.83	-165.20	1.00
2953.125000	-23.77	-165.48	1.00
3000.000000	-23.76	-165.69	1.00
3046.875000	-23.76	-165.85	1.00
3093.750000	-23.73	-166.08	1.00
3140.625000	-23.71	-166.49	1.00
3187.500000	-23.70	-166.63	1.00
3234.375000	-23.69	-166.70	1.00
3281.250000	-23.67	-166.88	1.00
3328.125000	-23.67	-167.07	1.00
3375.000000	-23.67	-167.42	1.00
3421.875000	-23.64	-167.47	1.00
3468.750000	-23.64	-167.60	1.00
3515.625000	-23.60	-167.75	1.00
3562.500000	-23.61	-167.91	1.00
3609.375000	-23.60	-168.29	1.00
3656.250000	-23.58	-168.31	1.00
3703.125000	-23.57	-168.54	1.00
3750.000000	-23.58	-168.50	1.00
3796.875000	-23.56	-168.86	1.00
3843.750000	-23.55	-168.92	1.00
3890.625000	-23.55	-168.99	1.00
3937.500000	-23.53	-169.33	1.00
3984.375000	-23.52	-169.44	1.00
4031.250000	-23.52	-169.54	1.00
4078.125000	-23.50	-169.67	1.00
4125.000000	-23.51	-169.81	1.00
4171.875000	-23.50	-169.79	1.00
4218.750000	-23.49	-170.01	1.00
4265.625000	-23.48	-170.08	1.00
4312.500000	-23.48	-170.33	1.00
4359.375000	-23.49	-170.43	1.00
4406.250000	-23.48	-170.59	1.00
4453.125000	-23.46	-170.66	1.00
4500.000000	-23.45	-170.84	1.00
4593.750000	-23.45	-171.02	1.00
4687.500000	-23.45	-171.36	1.00
4781.250000	-23.43	-171.42	1.00
4875.000000	-23.41	-171.68	1.00
4968.750000	-23.43	-171.83	1.00
5062.500000	-23.42	-171.99	1.00
5156.250000	-23.38	-172.19	1.00
5250.000000	-23.40	-172.48	1.00
5343.750000	-23.37	-172.61	1.00
5437.500000	-23.38	-172.88	1.00
5531.250000	-23.39	-173.06	1.00
5625.000000	-23.36	-173.08	1.00
5718.750000	-23.37	-173.19	1.00
5812.500000	-23.36	-173.50	1.00
5906.250000	-23.36	-173.55	1.00
6000.000000	-23.35	-173.65	1.00
6093.750000	-23.34	-173.89	1.00
6187.500000	-23.35	-174.03	1.00
6281.250000	-23.33	-174.04	1.00
6375.000000	-23.33	-174.25	1.00
6468.750000	-23.33	-174.33	1.00
6562.500000	-23.35	-174.63	1.00
6656.250000	-23.32	-174.66	1.00
6750.000000	-23.32	-174.75	1.00
6843.750000	-23.31	-174.88	1.00
6937.500000	-23.32	-175.01	1.00
7031.250000	-23.30	-175.10	1.00
7125.000000	-23.29	-175.22	1.00
7218.750000	-23.31	-175.36	1.00
7312.500000	-23.30	-175.32	1.00
7406.250000	-23.30	-175.58	1.00
7500.000000	-23.28	-175.67	1.00
7593.750000	-23.29	-175.76	1.00
7687.500000	-23.30	-175.90	1.00
7781.250000	-23.29	-175.99	1.00
7875.000000	-23.28	-176.16	1.00
7968.750000	-23.28	-176.16	1.00
8062.500000	-23.28	-176.30	1.00
8156.250000	-23.29	-176.35	1.00
8250.000000	-23.30	-176.47	1.00
8343.750000	-23.28	-176.60	1.00
8437.500000	-23.28	-176.63	1.00
8531.250000	-23.28	-176.65	1.00
8625.000000	-23.28	-176.84	1.00
8718.750000	-23.27	-176.93	1.00
8812.500000	-23.27	-176.93	1.00
8906.250000	-23.28	-177.02	1.00
9000.000000	-23.28	-177.19	1.00
9187.500000	-23.27	-177.29	1.00
9375.000000	-23.28	-177.46	1.00
9562.500000	-23.28	-177.66	1.00
9750.000000	-23.28	-177.61	1.00
9937.500000	-23.27	-177.89	1.00
10125.000000	-23.28	-177.96	1.00
10312.500000	-23.27	-178.19	1.00
10500.000000	-23.27	-178.24	1.00
10687.500000	-23.27	-178.36	1.00
10875.000000	-23.26	-178.59	1.00
11062.500000	-23.26	-178.72	1.00
11250.000000	-23.26	-178.79	1.00
11437.500000	-23.26	-178.92	1.00
11625.000000	-23.25	-178.97	1.00
11812.500000	-23.27	-179.10	1.00
12000.000000	-23.26	-179.22	1.00
