	bell 9k2 broad		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
6000.000000	-13.13	-159.19	1.00
6093.750000	-13.11	-160.04	1.00
6187.500000	-13.08	-160.51	1.00
6281.250000	-13.02	-161.11	1.00
6375.000000	-12.98	-161.49	1.00
6468.750000	-12.94	-162.35	1.00
6562.500000	-12.94	-162.58	1.00
6656.250000	-12.88	-163.21	1.00
6750.000000	-12.84	-163.56	1.00
6843.750000	-12.85	-164.38	1.00
6937.500000	-12.82	-164.80	1.00
7031.250000	-12.79	-165.18	1.00
7125.000000	-12.76	-165.74	1.00
7218.750000	-12.74	-166.13	1.00
7312.500000	-12.72	-166.66	1.00
7406.250000	-12.71	-167.14	1.00
7500.000000	-12.69	-167.61	1.00
7593.750000	-12.68	-168.16	1.00
7687.500000	-12.70	-168.45	1.00
7781.250000	-12.68	-168.98	1.00
7875.000000	-12.64	-169.28	1.00
7968.750000	-12.64	-169.68	1.00
8062.500000	-12.65	-170.23	1.00
8156.250000	-12.64	-170.73	1.00
8250.000000	-12.62	-171.07	1.00
8343.750000	-12.63	-171.29	1.00
8437.500000	-12.62	-171.80	1.00
8531.250000	-12.64	-172.17	1.00
8625.000000	-12.63	-172.68	1.00
8718.750000	-12.62	-172.88	1.00
8812.500000	-12.62	-173.32	1.00
8906.250000	-12.61	-173.72	1.00
9000.000000	-12.61	-174.07	1.00
9187.500000	-12.63	-174.62	1.00
9375.000000	-12.63	-175.25	1.00
9562.500000	-12.66	-175.94	1.00
9750.000000	-12.67	-176.53	1.00
9937.500000	-12.68	-177.17	1.00
10125.000000	-12.68	-177.82	1.00
10312.500000	-12.70	-178.21	1.00
10500.000000	-12.71	-178.80	1.00
10687.500000	-12.73	-179.37	1.00
10875.000000	-12.75	-179.84	1.00
11062.500000	-12.78	179.65	1.00
11250.000000	-12.76	179.13	1.00
11437.500000	-12.81	178.65	1.00
11625.000000	-12.82	178.23	1.00
11812.500000	-12.86	177.97	1.00
12000.000000	-12.88	177.37	1.00
12187.500000	-12.88	176.97	1.00
12375.000000	-12.89	176.81	1.00
12562.500000	-12.93	176.30	1.00
12750.000000	-12.96	175.80	1.00
12937.500000	-12.97	175.53	1.00
13125.000000	-13.00	175.14	1.00
13312.500000	-13.03	174.83	1.00
13500.000000	-13.05	174.43	1.00
13687.500000	-13.05	174.24	1.00
13875.000000	-13.09	173.87	1.00
14062.500000	-13.10	173.43	1.00
14250.000000	-13.14	173.20	1.00
14437.500000	-13.17	172.97	1.00
14625.000000	-13.19	172.66	1.00
14812.500000	-13.22	172.35	1.00
15000.000000	-13.24	172.12	1.00
15187.500000	-13.25	172.02	1.00
15375.000000	-13.27	171.61	1.00
15562.500000	-13.29	171.34	1.00
15750.000000	-13.31	171.06	1.00
15937.500000	-13.34	170.91	1.00
16125.000000	-13.37	170.59	1.00
16312.500000	-13.38	170.37	1.00
16500.000000	-13.40	170.17	1.00
16687.500000	-13.43	169.87	1.00
16875.000000	-13.45	169.69	1.00
17062.500000	-13.47	169.52	1.00
17250.000000	-13.49	169.22	1.00
17437.500000	-13.51	168.91	1.00
17625.000000	-13.55	168.76	1.00
17812.500000	-13.56	168.66	1.00
18000.000000	-13.59	168.48	1.00
18187.500000	-13.61	168.27	1.00
18375.000000	-13.63	168.03	1.00
18562.500000	-13.66	167.85	1.00
18750.000000	-13.65	167.70	1.00
18937.500000	-13.68	167.52	1.00
19125.000000	-13.70	167.34	1.00
19312.500000	-13.72	167.22	1.00
19500.000000	-13.75	166.96	1.00
19687.500000	-13.77	166.86	1.00
19875.000000	-13.80	166.66	1.00
20062.500000	-13.81	166.46	1.00
20250.000000	-13.82	166.30	1.00
20437.500000	-13.84	166.13	1.00
20625.000000	-13.85	165.94	1.00
20812.500000	-13.88	165.85	1.00
21000.000000	-13.89	165.75	1.00
21187.500000	-13.92	165.48	1.00
21375.000000	-13.94	165.37	1.00
21562.500000	-13.96	165.23	1.00
21750.000000	-13.98	165.05	1.00
21937.500000	-13.99	164.97	1.00
22125.000000	-14.01	164.77	1.00
22312.500000	-14.03	164.67	1.00
22500.000000	-14.05	164.49	1.00
22687.500000	-14.06	164.31	1.00
22875.000000	-14.07	164.20	1.00
23062.500000	-14.09	164.06	1.00
23250.000000	-14.13	164.06	1.00
23437.500000	-14.23	164.50	1.00
23625.000000	-14.49	166.31	1.00
23812.500000	-14.85	169.82	1.00
