	bell 3k7 sharp		
219.726562	-24.27	-163.34	1.00
222.656250	-24.27	-163.22	1.00
225.585938	-24.26	-162.99	1.00
228.515625	-24.24	-162.73	1.00
231.445312	-24.23	-162.55	1.00
234.375000	-24.22	-162.33	1.00
237.304688	-24.23	-162.21	1.00
240.234375	-24.20	-161.89	1.00
243.164062	-24.18	-161.80	1.00
246.093750	-24.16	-161.55	1.00
249.023438	-24.16	-161.34	1.00
251.953125	-24.16	-161.20	1.00
254.882812	-24.13	-161.04	1.00
257.812500	-24.11	-160.79	1.00
260.742188	-24.12	-160.62	1.00
263.671875	-24.10	-160.39	1.00
266.601562	-24.07	-160.25	1.00
269.531250	-24.08	-160.07	1.00
272.460938	-24.07	-159.78	1.00
275.390625	-24.05	-159.74	1.00
278.320312	-24.02	-159.47	1.00
281.250000	-24.01	-159.21	1.00
287.109375	-23.99	-158.86	1.00
292.968750	-23.97	-158.42	1.00
298.828125	-23.96	-158.66	1.00
304.687500	-23.93	-157.91	1.00
310.546875	-23.88	-157.44	1.00
316.406250	-23.85	-157.15	1.00
322.265625	-23.82	-156.67	1.00
328.125000	-23.79	-156.26	1.00
333.984375	-23.77	-156.06	1.00
339.843750	-23.73	-155.60	1.00
345.703125	-23.71	-155.50	1.00
351.562500	-23.68	-155.04	1.00
357.421875	-23.64	-154.58	1.00
363.281250	-23.60	-154.12	1.00
369.140625	-23.58	-154.16	1.00
375.000000	-23.53	-153.50	1.00
380.859375	-23.52	-153.18	1.00
386.718750	-23.45	-153.01	1.00
392.578125	-23.44	-152.58	1.00
398.437500	-23.40	-152.05	1.00
404.296875	-23.37	-151.83	1.00
410.156250	-23.34	-151.56	1.00
416.015625	-23.29	-151.42	1.00
421.875000	-23.29	-150.88	1.00
427.734375	-23.24	-150.56	1.00
433.593750	-23.19	-150.30	1.00
439.453125	-23.20	-149.97	1.00
445.312500	-23.15	-149.60	1.00
451.171875	-23.09	-149.46	1.00
457.031250	-23.07	-148.99	1.00
462.890625	-23.02	-148.90	1.00
468.750000	-22.99	-148.45	1.00
474.609375	-22.97	-147.88	1.00
480.468750	-22.91	-147.86	1.00
486.328125	-22.85	-147.60	1.00
492.187500	-22.85	-147.37	1.00
498.046875	-22.83	-146.90	1.00
503.906250	-22.77	-146.71	1.00
509.765625	-22.72	-146.41	1.00
515.625000	-22.69	-146.21	1.00
521.484375	-22.65	-145.86	1.00
527.343750	-22.63	-145.80	1.00
533.203125	-22.58	-145.43	1.00
539.062500	-22.53	-145.13	1.00
544.921875	-22.50	-144.68	1.00
550.781250	-22.46	-144.51	1.00
556.640625	-22.42	-144.36	1.00
562.500000	-22.38	-143.79	1.00
574.218750	-22.27	-143.45	1.00
585.937500	-22.23	-143.23	1.00
597.656250	-22.15	-142.58	1.00
609.375000	-22.06	-142.12	1.00
621.093750	-21.91	-141.20	1.00
632.812500	-21.94	-141.36	1.00
644.531250	-21.90	-140.82	1.00
656.250000	-21.78	-140.21	1.00
667.968750	-21.57	-139.85	1.00
679.687500	-21.62	-139.18	1.00
691.406250	-21.49	-138.99	1.00
703.125000	-21.40	-138.63	1.00
714.843750	-21.40	-137.91	1.00
726.562500	-21.31	-137.71	1.00
738.281250	-21.18	-137.38	1.00
750.000000	-21.08	-136.97	1.00
761.718750	-20.99	-136.94	1.00
773.437500	-20.99	-136.25	1.00
785.156250	-20.81	-136.22	1.00
796.875000	-20.81	-135.61	1.00
808.593750	-20.66	-135.18	1.00
820.312500	-20.60	-134.66	1.00
832.031250	-20.55	-134.66	1.00
843.750000	-20.41	-134.34	1.00
855.468750	-20.33	-133.94	1.00
867.187500	-20.26	-133.74	1.00
878.906250	-20.17	-133.42	1.00
890.625000	-20.11	-133.22	1.00
902.343750	-20.03	-132.69	1.00
914.062500	-19.92	-132.58	1.00
925.781250	-19.85	-132.18	1.00
937.500000	-19.72	-130.68	1.00
949.218750	-19.70	-131.52	1.00
960.937500	-19.59	-131.42	1.00
972.656250	-19.57	-131.67	1.00
984.375000	-19.42	-130.90	1.00
996.093750	-19.36	-130.98	1.00
1007.812500	-19.26	-130.26	1.00
1019.531250	-19.20	-130.33	1.00
1031.250000	-19.08	-129.99	1.00
1042.968750	-19.01	-129.62	1.00
1054.687500	-18.99	-129.85	1.00
1066.406250	-18.84	-129.55	1.00
1078.125000	-18.80	-128.98	1.00
1089.843750	-18.69	-128.88	1.00
1101.562500	-18.62	-129.04	1.00
1113.281250	-18.49	-128.89	1.00
1125.000000	-18.44	-128.52	1.00
1148.437500	-18.32	-127.95	1.00
1171.875000	-18.09	-128.16	1.00
1195.312500	-17.98	-127.69	1.00
1218.750000	-17.91	-127.53	1.00
1242.187500	-17.64	-127.00	1.00
1265.625000	-17.54	-126.46	1.00
1289.062500	-17.39	-126.72	1.00
1312.500000	-17.17	-126.23	1.00
1335.937500	-17.01	-126.79	1.00
1359.375000	-16.90	-126.05	1.00
1382.812500	-16.70	-126.51	1.00
1406.250000	-16.51	-125.51	1.00
1429.687500	-16.36	-125.51	1.00
1453.125000	-16.22	-125.39	1.00
1476.562500	-16.17	-125.06	1.00
1500.000000	-15.86	-125.48	1.00
1523.437500	-15.88	-125.40	1.00
1546.875000	-15.64	-125.51	1.00
1570.312500	-15.53	-125.64	1.00
1593.750000	-15.36	-125.24	1.00
1617.187500	-15.23	-125.67	1.00
1640.625000	-15.08	-125.47	1.00
1664.062500	-14.98	-125.00	1.00
1687.500000	-14.78	-125.42	1.00
1710.937500	-14.62	-125.39	1.00
1734.375000	-14.47	-125.36	1.00
1757.812500	-14.33	-125.28	1.00
1781.250000	-14.18	-125.41	1.00
1804.687500	-14.03	-125.78	1.00
1828.125000	-13.89	-125.82	1.00
1851.562500	-13.74	-125.83	1.00
1875.000000	-13.62	-126.02	1.00
1898.437500	-13.42	-126.28	1.00
1921.875000	-13.34	-126.46	1.00
1945.312500	-13.20	-126.16	1.00
1968.750000	-13.04	-126.75	1.00
1992.187500	-12.94	-127.33	1.00
2015.625000	-12.81	-127.35	1.00
2039.062500	-12.71	-127.43	1.00
2062.500000	-12.51	-127.74	1.00
2085.937500	-12.35	-127.98	1.00
2109.375000	-12.19	-127.93	1.00
2132.812500	-12.09	-128.61	1.00
2156.250000	-11.97	-129.07	1.00
2179.687500	-11.85	-129.29	1.00
2203.125000	-11.80	-129.94	1.00
2226.562500	-11.61	-130.24	1.00
2250.000000	-11.45	-130.47	1.00
2296.875000	-11.17	-131.01	1.00
2343.750000	-10.92	-132.05	1.00
2390.625000	-10.71	-132.44	1.00
2437.500000	-10.45	-133.73	1.00
2484.375000	-10.23	-134.60	1.00
2531.250000	-9.98	-135.80	1.00
2578.125000	-9.77	-136.53	1.00
2625.000000	-9.62	-138.04	1.00
2671.875000	-9.31	-138.95	1.00
2718.750000	-9.13	-140.22	1.00
2765.625000	-8.87	-141.32	1.00
2812.500000	-8.66	-143.03	1.00
2859.375000	-8.60	-143.81	1.00
2906.250000	-8.39	-146.12	1.00
2953.125000	-8.20	-147.74	1.00
3000.000000	-8.12	-148.73	1.00
3046.875000	-7.90	-149.98	1.00
3093.750000	-7.82	-151.77	1.00
3140.625000	-7.58	-154.02	1.00
3187.500000	-7.55	-155.13	1.00
3234.375000	-7.45	-156.49	1.00
3281.250000	-7.32	-158.19	1.00
3328.125000	-7.35	-159.87	1.00
3375.000000	-7.28	-161.30	1.00
3421.875000	-7.14	-163.31	1.00
3468.750000	-7.16	-164.57	1.00
3515.625000	-7.08	-166.32	1.00
3562.500000	-7.11	-167.67	1.00
3609.375000	-7.09	-169.30	1.00
3656.250000	-7.08	-171.00	1.00
3703.125000	-7.08	-172.26	1.00
3750.000000	-7.09	-173.74	1.00
3796.875000	-7.09	-175.18	1.00
3843.750000	-7.14	-176.52	1.00
3890.625000	-7.16	-177.81	1.00
3937.500000	-7.25	-179.31	1.00
3984.375000	-7.31	179.22	1.00
4031.250000	-7.36	178.11	1.00
4078.125000	-7.42	176.97	1.00
4125.000000	-7.45	175.62	1.00
4171.875000	-7.54	174.46	1.00
4218.750000	-7.60	173.48	1.00
4265.625000	-7.61	172.56	1.00
4312.500000	-7.70	171.71	1.00
4359.375000	-7.86	170.45	1.00
4406.250000	-7.94	169.39	1.00
4453.125000	-7.99	168.72	1.00
4500.000000	-8.10	167.69	1.00
4593.750000	-8.18	166.37	1.00
4687.500000	-8.45	164.56	1.00
4781.250000	-8.61	163.35	1.00
4875.000000	-8.76	162.05	1.00
4968.750000	-8.92	160.74	1.00
5062.500000	-9.12	160.05	1.00
5156.250000	-9.30	158.60	1.00
5250.000000	-9.45	157.74	1.00
5343.750000	-9.60	157.04	1.00
5437.500000	-9.77	156.31	1.00
5531.250000	-9.98	155.89	1.00
5625.000000	-10.11	154.81	1.00
5718.750000	-10.22	154.39	1.00
5812.500000	-10.44	153.74	1.00
5906.250000	-10.54	153.25	1.00
6000.000000	-10.68	152.86	1.00
6093.750000	-10.83	152.45	1.00
6187.500000	-10.96	152.03	1.00
6281.250000	-11.07	151.64	1.00
6375.000000	-11.17	151.44	1.00
6468.750000	-11.30	151.08	1.00
6562.500000	-11.43	150.57	1.00
6656.250000	-11.55	150.58	1.00
6750.000000	-11.66	150.14	1.00
6843.750000	-11.79	150.20	1.00
6937.500000	-11.88	149.68	1.00
7031.250000	-11.98	149.68	1.00
7125.000000	-12.09	149.61	1.00
7218.750000	-12.19	149.27	1.00
7312.500000	-12.25	149.26	1.00
7406.250000	-12.38	148.96	1.00
7500.000000	-12.41	148.94	1.00
7593.750000	-12.53	148.76	1.00
7687.500000	-12.64	148.84	1.00
7781.250000	-12.71	148.82	1.00
7875.000000	-12.80	148.52	1.00
7968.750000	-12.88	148.58	1.00
8062.500000	-12.95	148.40	1.00
8156.250000	-13.05	148.33	1.00
8250.000000	-13.13	148.30	1.00
8343.750000	-13.21	148.20	1.00
8437.500000	-13.24	148.26	1.00
8531.250000	-13.30	148.14	1.00
8625.000000	-13.40	148.16	1.00
8718.750000	-13.49	148.13	1.00
8812.500000	-13.53	148.16	1.00
8906.250000	-13.59	148.18	1.00
9000.000000	-13.67	148.10	1.00
9187.500000	-13.80	148.01	1.00
9375.000000	-13.92	147.86	1.00
9562.500000	-14.00	148.08	1.00
9750.000000	-14.12	148.05	1.00
9937.500000	-14.21	148.02	1.00
10125.000000	-14.31	148.11	1.00
10312.500000	-14.41	147.97	1.00
10500.000000	-14.48	148.32	1.00
10687.500000	-14.58	148.23	1.00
10875.000000	-14.65	148.17	1.00
11062.500000	-14.74	148.16	1.00
11250.000000	-14.82	148.38	1.00
11437.500000	-14.89	148.52	1.00
11625.000000	-14.95	148.35	1.00
11812.500000	-15.05	148.63	1.00
12000.000000	-15.10	148.64	1.00
12187.500000	-15.18	148.66	1.00
12375.000000	-15.24	148.63	1.00
12562.500000	-15.29	148.64	1.00
12750.000000	-15.36	148.78	1.00
12937.500000	-15.41	148.78	1.00
13125.000000	-15.49	149.08	1.00
13312.500000	-15.55	148.96	1.00
13500.000000	-15.59	149.05	1.00
13687.500000	-15.64	148.87	1.00
13875.000000	-15.68	149.09	1.00
14062.500000	-15.75	149.01	1.00
14250.000000	-15.77	149.17	1.00
14437.500000	-15.84	149.17	1.00
14625.000000	-15.90	149.26	1.00
14812.500000	-15.93	149.24	1.00
15000.000000	-15.98	149.31	1.00
15187.500000	-16.04	149.40	1.00
15375.000000	-16.07	149.37	1.00
15562.500000	-16.12	149.56	1.00
15750.000000	-16.15	149.56	1.00
15937.500000	-16.18	149.57	1.00
16125.000000	-16.24	149.68	1.00
16312.500000	-16.27	149.68	1.00
16500.000000	-16.32	149.63	1.00
16687.500000	-16.34	149.73	1.00
16875.000000	-16.40	149.74	1.00
17062.500000	-16.43	149.69	1.00
17250.000000	-16.45	149.91	1.00
17437.500000	-16.50	149.73	1.00
17625.000000	-16.54	149.79	1.00
17812.500000	-16.58	149.89	1.00
18000.000000	-16.60	149.91	1.00
18187.500000	-16.61	149.87	1.00
18375.000000	-16.65	149.85	1.00
18562.500000	-16.69	150.06	1.00
18750.000000	-16.72	150.10	1.00
18937.500000	-16.75	150.00	1.00
19125.000000	-16.78	150.08	1.00
19312.500000	-16.83	150.11	1.00
19500.000000	-16.84	150.16	1.00
19687.500000	-16.88	150.22	1.00
19875.000000	-16.91	150.17	1.00
20062.500000	-16.93	150.20	1.00
20250.000000	-16.95	150.18	1.00
20437.500000	-16.97	150.05	1.00
20625.000000	-17.00	150.25	1.00
20812.500000	-17.03	150.25	1.00
21000.000000	-17.07	150.27	1.00
21187.500000	-17.08	150.24	1.00
21375.000000	-17.10	150.25	1.00
21562.500000	-17.14	150.29	1.00
21750.000000	-17.17	150.36	1.00
21937.500000	-17.20	150.25	1.00
22125.000000	-17.24	150.29	1.00
22312.500000	-17.25	150.34	1.00
22500.000000	-17.25	150.33	1.00
22687.500000	-17.26	150.35	1.00
22875.000000	-17.28	150.40	1.00
23062.500000	-17.32	150.34	1.00
23250.000000	-17.40	150.52	1.00
23437.500000	-17.59	151.42	1.00
23625.000000	-18.00	154.32	1.00
23812.500000	-18.85	161.13	0.99
