	ECM8000_TF_0_30		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1315.429688	-1.27	-0.53	1.00
1318.359375	-1.28	-0.51	1.00
1321.289063	-1.28	-0.49	1.00
1324.218750	-1.28	-0.48	1.00
1327.148438	-1.28	-0.47	1.00
1330.078125	-1.28	-0.46	1.00
1333.007813	-1.28	-0.45	1.00
1335.937500	-1.28	-0.44	1.00
1338.867188	-1.29	-0.44	1.00
1341.796875	-1.29	-0.44	1.00
1344.726563	-1.29	-0.44	1.00
1347.656250	-1.29	-0.45	1.00
1350.585938	-1.29	-0.42	0.99
1353.515625	-1.30	-0.40	1.00
1356.445313	-1.31	-0.39	1.00
1359.375000	-1.31	-0.37	1.00
1362.304688	-1.32	-0.36	1.00
1365.234375	-1.33	-0.33	1.00
1368.164063	-1.34	-0.30	1.00
1371.093750	-1.35	-0.27	1.00
1374.023438	-1.35	-0.23	1.00
1376.953125	-1.36	-0.19	1.00
1379.882813	-1.36	-0.15	1.00
1382.812500	-1.37	-0.11	1.00
1385.742188	-1.37	-0.07	1.00
1388.671875	-1.37	-0.03	1.00
1391.601563	-1.38	0.02	1.00
1394.531250	-1.38	0.05	1.00
1397.460938	-1.38	0.08	1.00
1400.390625	-1.38	0.11	1.00
1403.320313	-1.38	0.14	1.00
1406.250000	-1.38	0.17	1.00
1409.179688	-1.38	0.20	1.00
1412.109375	-1.38	0.22	1.00
1415.039063	-1.38	0.25	1.00
1417.968750	-1.38	0.27	1.00
1420.898438	-1.37	0.28	1.00
1423.828125	-1.37	0.30	1.00
1426.757813	-1.37	0.32	1.00
1429.687500	-1.37	0.35	1.00
1432.617188	-1.37	0.38	1.00
1435.546875	-1.36	0.42	1.00
1438.476563	-1.36	0.46	1.00
1441.406250	-1.35	0.49	1.00
1444.335938	-1.35	0.52	1.00
1447.265625	-1.34	0.54	1.00
1450.195313	-1.33	0.58	1.00
1453.125000	-1.32	0.60	1.00
1456.054688	-1.31	0.62	1.00
1458.984375	-1.31	0.63	1.00
