	SM57_TF_0_150		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
738.281250	-17.37	25.41	0.67
741.210938	-17.42	28.37	0.68
744.140625	-17.38	31.10	0.91
747.070313	-17.31	33.48	0.95
750.000000	-17.19	35.97	0.93
752.929688	-16.99	38.71	0.72
755.859375	-16.68	41.57	0.66
758.789063	-16.26	44.80	0.46
761.718750	-15.86	46.73	0.82
764.648438	-15.49	47.04	0.86
767.578125	-15.15	46.83	0.89
770.507813	-14.84	46.60	0.91
773.437500	-14.53	47.07	0.50
776.367188	-14.22	47.80	0.08
779.296875	-13.99	48.06	0.89
782.226563	-13.85	46.98	0.90
785.156250	-13.78	45.53	0.94
788.085938	-13.68	44.21	0.90
791.015625	-13.58	42.80	0.93
793.945313	-13.48	40.93	0.96
796.875000	-13.39	39.06	0.99
799.804688	-13.32	37.33	0.94
802.734375	-13.28	35.83	0.86
805.664063	-13.19	34.56	0.83
808.593750	-13.06	33.09	0.89
811.523438	-12.98	31.25	0.97
814.453125	-12.94	29.02	0.98
817.382813	-12.95	26.67	0.99
820.312500	-12.99	24.48	0.99
823.242188	-13.07	22.39	0.99
826.171875	-13.19	20.48	0.98
829.101563	-13.31	18.85	0.98
832.031250	-13.44	17.46	0.96
834.960938	-13.59	15.88	0.96
837.890625	-13.77	14.90	0.95
840.820313	-13.93	14.21	0.95
843.750000	-14.06	13.59	0.96
846.679688	-14.21	12.92	0.96
849.609375	-14.32	12.28	0.97
852.539063	-14.44	11.68	0.99
855.468750	-14.56	11.16	0.99
858.398438	-14.68	10.67	0.97
861.328125	-14.77	10.18	0.95
864.257813	-14.83	9.57	0.97
867.187500	-14.91	8.97	0.99
870.117188	-15.00	8.43	0.99
873.046875	-15.11	8.05	0.99
875.976563	-15.24	7.85	0.96
878.906250	-15.38	8.03	0.95
881.835938	-15.51	8.66	0.94
884.765625	-15.56	9.61	0.93
887.695313	-15.59	10.48	0.98
890.625000	-15.61	11.28	0.96
893.554688	-15.59	12.02	0.98
896.484375	-15.52	12.54	0.99
899.414063	-15.43	12.81	0.99
902.343750	-15.34	12.80	0.98
905.273438	-15.28	12.40	0.99
908.203125	-15.25	11.92	0.99
911.132813	-15.26	11.58	0.98
914.062500	-15.26	11.46	0.98
916.992188	-15.25	11.38	0.99
919.921875	-15.24	11.36	0.99
922.851563	-15.25	11.32	0.99
925.781250	-15.24	11.41	0.99
928.710938	-15.20	11.58	0.99
931.640625	-15.13	11.76	0.99
934.570313	-15.02	11.91	1.00
937.500000	-14.88	11.92	0.99
940.429688	-14.73	11.77	0.99
943.359375	-14.58	11.51	1.00
946.289063	-14.43	11.15	1.00
949.218750	-14.29	10.66	0.99
952.148438	-14.15	10.08	0.99
955.078125	-14.03	9.47	1.00
958.007813	-13.92	8.85	0.99
960.937500	-13.84	8.50	0.99
963.867188	-13.79	8.64	0.96
966.796875	-13.76	9.77	0.88
969.726563	-13.77	12.21	0.84
972.656250	-13.79	15.42	0.67
975.585938	-13.76	18.73	0.88
978.515625	-13.71	21.11	0.95
981.445313	-13.66	22.35	0.97
984.375000	-13.62	22.88	0.99
987.304688	-13.59	22.99	0.99
990.234375	-13.56	22.64	0.98
993.164063	-13.56	21.83	0.99
996.093750	-13.58	20.99	0.99
999.023438	-13.61	20.29	0.99
1001.953125	-13.63	19.74	0.99
1004.882813	-13.64	19.21	0.99
1007.812500	-13.65	18.65	0.99
1010.742188	-13.65	18.10	0.99
1013.671875	-13.64	17.50	0.99
1016.601563	-13.64	16.84	0.99
1019.531250	-13.63	16.22	0.99
1022.460938	-13.61	15.64	0.97
1025.390625	-13.56	14.99	0.99
1028.320313	-13.50	14.12	0.99
1031.250000	-13.47	13.09	0.99
1034.179688	-13.45	11.99	1.00
1037.109375	-13.46	11.03	1.00
1040.039063	-13.47	10.03	1.00
1042.968750	-13.50	9.04	1.00
1045.898438	-13.54	8.12	1.00
1048.828125	-13.62	7.34	0.99
1051.757813	-13.70	6.72	1.00
1054.687500	-13.79	6.26	0.99
1057.617188	-13.88	6.03	0.98
1060.546875	-13.93	5.93	0.98
1063.476563	-13.96	5.88	0.95
1066.406250	-13.97	5.83	0.99
1069.335938	-13.95	5.73	0.99
1072.265625	-13.92	5.55	0.98
1075.195313	-13.88	5.44	0.95
1078.125000	-13.82	5.20	0.99
1081.054688	-13.76	4.72	0.99
1083.984375	-13.72	4.09	1.00
1086.914063	-13.70	3.36	0.99
1089.843750	-13.70	2.66	1.00
1092.773438	-13.71	1.96	1.00
1095.703125	-13.73	1.29	1.00
1098.632813	-13.76	0.71	0.99
1101.562500	-13.81	0.11	0.98
1104.492188	-13.89	-0.13	0.95
1107.421875	-13.96	-0.05	0.92
1110.351563	-14.00	0.23	0.85
1113.281250	-13.98	0.62	0.93
1116.210938	-13.93	0.81	0.98
1119.140625	-13.89	0.79	1.00
1122.070313	-13.85	0.64	1.00
1125.000000	-13.83	0.36	1.00
1127.929688	-13.81	-0.02	1.00
1130.859375	-13.81	-0.52	1.00
1133.789063	-13.83	-1.04	1.00
1136.718750	-13.87	-1.53	0.99
1139.648438	-13.94	-1.82	0.99
1142.578125	-14.01	-1.91	0.99
1145.507813	-14.07	-1.84	1.00
1148.437500	-14.11	-1.67	1.00
1151.367188	-14.13	-1.43	1.00
1154.296875	-14.14	-1.14	0.98
1157.226563	-14.12	-0.81	0.96
1160.156250	-14.07	-0.52	0.99
1163.085938	-14.01	-0.34	0.99
1166.015625	-13.94	-0.29	0.99
1168.945313	-13.87	-0.36	0.99
1171.875000	-13.81	-0.54	0.99
1174.804688	-13.77	-0.69	1.00
1177.734375	-13.72	-0.84	1.00
1180.664063	-13.68	-0.99	1.00
1183.593750	-13.65	-1.11	1.00
1186.523438	-13.61	-1.20	1.00
1189.453125	-13.58	-1.28	0.98
1192.382813	-13.55	-1.31	0.94
1195.312500	-13.52	-1.16	0.92
1198.242188	-13.45	-0.96	0.93
1201.171875	-13.37	-0.95	0.98
1204.101563	-13.28	-1.12	0.99
1207.031250	-13.21	-1.42	0.99
1209.960938	-13.15	-1.80	0.99
1212.890625	-13.09	-2.15	0.98
1215.820313	-13.04	-2.48	0.97
1218.750000	-12.99	-2.82	0.99
1221.679688	-12.94	-3.27	0.99
1224.609375	-12.90	-3.82	0.99
1227.539063	-12.87	-4.39	0.98
1230.468750	-12.84	-4.95	0.98
1233.398438	-12.81	-5.56	0.99
1236.328125	-12.78	-6.21	0.99
1239.257813	-12.77	-6.90	0.99
1242.187500	-12.77	-7.60	0.99
1245.117188	-12.79	-8.19	0.99
1248.046875	-12.83	-8.58	0.98
1250.976563	-12.86	-8.85	0.99
1253.906250	-12.88	-9.02	0.99
1256.835938	-12.88	-9.13	0.97
1259.765625	-12.88	-9.23	0.88
1262.695313	-12.86	-9.24	0.57
1265.625000	-12.81	-9.22	0.93
1268.554688	-12.75	-9.39	1.00
1271.484375	-12.71	-9.70	1.00
1274.414063	-12.68	-10.07	1.00
1277.343750	-12.65	-10.50	0.99
1280.273438	-12.63	-10.98	0.99
1283.203125	-12.61	-11.44	0.99
1286.132813	-12.59	-11.85	1.00
1289.062500	-12.57	-12.28	1.00
1291.992188	-12.55	-12.70	0.99
1294.921875	-12.53	-13.17	0.99
1297.851563	-12.51	-13.69	0.98
1300.781250	-12.51	-14.05	1.00
1303.710938	-12.51	-14.37	0.99
1306.640625	-12.51	-14.66	1.00
1309.570313	-12.51	-14.94	1.00
1312.500000	-12.51	-15.20	0.99
1315.429688	-12.49	-15.46	0.99
1318.359375	-12.48	-15.76	0.99
1321.289063	-12.45	-16.10	1.00
1324.218750	-12.44	-16.48	0.99
1327.148438	-12.42	-16.90	1.00
1330.078125	-12.41	-17.36	0.99
1333.007813	-12.42	-17.81	0.99
1335.937500	-12.42	-18.21	0.98
1338.867188	-12.42	-18.57	0.99
1341.796875	-12.43	-18.91	0.99
1344.726563	-12.43	-19.21	0.99
1347.656250	-12.44	-19.46	0.99
1350.585938	-12.46	-19.62	0.94
1353.515625	-12.47	-19.65	0.96
1356.445313	-12.48	-19.74	0.99
1359.375000	-12.48	-19.96	0.98
1362.304688	-12.49	-20.29	0.99
1365.234375	-12.50	-20.59	1.00
1368.164063	-12.52	-20.87	0.99
1371.093750	-12.53	-21.12	0.99
1374.023438	-12.54	-21.34	0.98
1376.953125	-12.54	-21.60	0.99
1379.882813	-12.54	-21.93	0.97
1382.812500	-12.55	-22.25	0.98
1385.742188	-12.56	-22.50	0.98
1388.671875	-12.57	-22.62	0.91
1391.601563	-12.57	-22.65	0.99
1394.531250	-12.57	-22.72	0.99
1397.460938	-12.55	-22.79	0.99
1400.390625	-12.53	-22.92	0.99
1403.320313	-12.49	-23.09	0.99
1406.250000	-12.45	-23.38	0.99
1409.179688	-12.43	-23.78	0.99
1412.109375	-12.42	-24.24	0.99
1415.039063	-12.42	-24.66	0.98
1417.968750	-12.43	-25.15	0.99
1420.898438	-12.44	-25.69	0.99
1423.828125	-12.47	-26.26	0.99
1426.757813	-12.51	-26.78	0.99
1429.687500	-12.58	-27.25	0.99
