	ECM8000_TF_0_0		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1646.484375	-1.35	0.33	1.00
1649.414063	-1.34	0.33	1.00
1652.343750	-1.33	0.34	1.00
1655.273438	-1.32	0.35	1.00
1658.203125	-1.31	0.35	1.00
1661.132813	-1.30	0.34	1.00
1664.062500	-1.30	0.33	1.00
1666.992188	-1.29	0.30	1.00
1669.921875	-1.28	0.28	1.00
1672.851563	-1.28	0.25	1.00
1675.781250	-1.27	0.22	1.00
1678.710938	-1.27	0.20	1.00
1681.640625	-1.27	0.17	1.00
1684.570313	-1.26	0.14	1.00
1687.500000	-1.26	0.11	1.00
1690.429688	-1.26	0.08	1.00
1693.359375	-1.25	0.05	1.00
1696.289063	-1.25	0.01	1.00
1699.218750	-1.24	-0.02	1.00
1702.148438	-1.24	-0.06	1.00
1705.078125	-1.23	-0.10	1.00
1708.007813	-1.23	-0.16	1.00
1710.937500	-1.22	-0.23	1.00
1713.867188	-1.22	-0.30	1.00
1716.796875	-1.21	-0.36	1.00
1719.726563	-1.21	-0.43	1.00
1722.656250	-1.20	-0.49	1.00
1725.585938	-1.20	-0.56	1.00
1728.515625	-1.20	-0.64	1.00
1731.445313	-1.20	-0.70	1.00
1734.375000	-1.20	-0.77	1.00
1737.304688	-1.20	-0.84	1.00
1740.234375	-1.21	-0.90	1.00
1743.164063	-1.22	-0.95	1.00
1746.093750	-1.22	-0.99	1.00
1749.023438	-1.23	-1.02	1.00
1751.953125	-1.24	-1.05	1.00
1754.882813	-1.24	-1.06	1.00
1757.812500	-1.25	-1.07	1.00
1760.742188	-1.25	-1.06	1.00
1763.671875	-1.26	-1.06	1.00
1766.601563	-1.26	-1.06	1.00
1769.531250	-1.26	-1.07	1.00
1772.460938	-1.26	-1.08	1.00
1775.390625	-1.26	-1.11	1.00
1778.320313	-1.26	-1.14	1.00
1781.250000	-1.27	-1.17	1.00
1784.179688	-1.27	-1.20	1.00
1787.109375	-1.28	-1.22	1.00
1790.039063	-1.29	-1.23	1.00
1792.968750	-1.29	-1.24	1.00
1795.898438	-1.30	-1.23	1.00
1798.828125	-1.30	-1.23	1.00
1801.757813	-1.31	-1.23	1.00
1804.687500	-1.32	-1.23	1.00
1807.617188	-1.33	-1.23	1.00
1810.546875	-1.34	-1.21	1.00
1813.476563	-1.35	-1.18	1.00
1816.406250	-1.36	-1.14	1.00
1819.335938	-1.37	-1.08	1.00
1822.265625	-1.38	-0.99	1.00
1825.195313	-1.38	-0.89	1.00
1828.125000	-1.39	-0.79	1.00
1831.054688	-1.39	-0.68	1.00
1833.984375	-1.39	-0.58	1.00
1836.914063	-1.39	-0.46	0.99
1839.843750	-1.38	-0.33	0.99
1842.773438	-1.38	-0.19	1.00
1845.703125	-1.36	-0.06	1.00
1848.632813	-1.35	0.05	1.00
1851.562500	-1.34	0.15	1.00
1854.492188	-1.33	0.24	0.99
1857.421875	-1.31	0.32	1.00
1860.351563	-1.30	0.37	1.00
1863.281250	-1.28	0.41	0.99
1866.210938	-1.26	0.45	0.99
1869.140625	-1.25	0.47	0.99
1872.070313	-1.23	0.47	1.00
1875.000000	-1.22	0.44	1.00
1877.929688	-1.20	0.39	1.00
1880.859375	-1.19	0.32	1.00
1883.789063	-1.18	0.25	1.00
1886.718750	-1.17	0.17	1.00
1889.648438	-1.16	0.09	1.00
1892.578125	-1.16	0.00	1.00
