	SM57_TF_0_180		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1119.140625	-15.13	-4.09	0.98
1122.070313	-15.13	-4.07	0.99
1125.000000	-15.15	-4.17	1.00
1127.929688	-15.16	-4.38	0.99
1130.859375	-15.20	-4.79	0.99
1133.789063	-15.27	-5.32	0.99
1136.718750	-15.37	-5.98	0.99
1139.648438	-15.51	-6.43	0.98
1142.578125	-15.67	-6.54	0.93
1145.507813	-15.83	-6.37	0.91
1148.437500	-15.95	-6.09	0.88
1151.367188	-16.03	-5.71	0.77
1154.296875	-16.06	-5.26	0.76
1157.226563	-16.04	-4.70	0.83
1160.156250	-15.98	-4.13	0.87
1163.085938	-15.88	-3.63	0.91
1166.015625	-15.76	-3.27	0.97
1168.945313	-15.65	-3.09	0.98
1171.875000	-15.56	-3.18	0.99
1174.804688	-15.47	-3.42	0.98
1177.734375	-15.39	-3.76	0.96
1180.664063	-15.32	-4.14	0.96
1183.593750	-15.23	-4.48	0.97
1186.523438	-15.15	-4.95	0.98
1189.453125	-15.09	-5.41	0.99
1192.382813	-15.04	-5.79	0.98
1195.312500	-15.03	-5.92	0.89
1198.242188	-15.04	-5.84	0.73
1201.171875	-15.00	-5.94	0.97
1204.101563	-14.94	-6.14	0.98
1207.031250	-14.87	-6.44	0.98
1209.960938	-14.80	-6.82	0.98
1212.890625	-14.72	-7.09	0.96
1215.820313	-14.64	-7.26	0.77
1218.750000	-14.55	-7.39	0.84
1221.679688	-14.45	-7.50	0.96
1224.609375	-14.35	-7.68	0.96
1227.539063	-14.23	-7.91	0.95
1230.468750	-14.10	-8.24	0.98
1233.398438	-13.98	-8.80	0.99
1236.328125	-13.88	-9.64	0.99
1239.257813	-13.81	-10.65	0.99
1242.187500	-13.77	-11.69	0.99
1245.117188	-13.76	-12.39	0.99
1248.046875	-13.77	-12.91	0.98
1250.976563	-13.80	-13.30	0.96
1253.906250	-13.81	-13.55	0.98
1256.835938	-13.83	-13.79	0.99
1259.765625	-13.84	-14.02	0.94
1262.695313	-13.84	-14.15	0.89
1265.625000	-13.82	-14.34	0.96
1268.554688	-13.78	-14.61	0.98
1271.484375	-13.73	-14.94	0.96
1274.414063	-13.69	-15.31	0.97
1277.343750	-13.64	-15.68	0.97
1280.273438	-13.61	-16.20	0.98
1283.203125	-13.58	-16.81	0.98
1286.132813	-13.56	-17.50	0.98
1289.062500	-13.56	-18.21	0.98
1291.992188	-13.53	-18.90	0.95
1294.921875	-13.51	-19.61	0.97
1297.851563	-13.50	-20.28	0.97
1300.781250	-13.52	-20.86	0.93
1303.710938	-13.55	-21.20	0.82
1306.640625	-13.58	-21.35	0.81
1309.570313	-13.59	-21.46	0.93
1312.500000	-13.57	-21.62	0.91
1315.429688	-13.53	-21.87	0.87
1318.359375	-13.48	-22.05	0.97
1321.289063	-13.44	-22.33	0.98
1324.218750	-13.40	-22.68	0.98
1327.148438	-13.36	-23.08	0.97
1330.078125	-13.34	-23.51	0.98
1333.007813	-13.32	-24.00	0.96
1335.937500	-13.33	-24.56	0.97
1338.867188	-13.35	-25.11	0.92
1341.796875	-13.37	-25.60	0.87
1344.726563	-13.40	-26.05	0.97
1347.656250	-13.44	-26.47	0.87
1350.585938	-13.48	-26.77	0.87
1353.515625	-13.52	-26.78	0.50
1356.445313	-13.55	-26.79	0.81
1359.375000	-13.55	-26.88	0.96
1362.304688	-13.54	-27.06	0.99
1365.234375	-13.53	-27.30	0.99
1368.164063	-13.53	-27.64	0.98
1371.093750	-13.52	-27.95	0.98
1374.023438	-13.51	-28.22	0.95
1376.953125	-13.48	-28.50	0.97
1379.882813	-13.45	-28.86	0.98
1382.812500	-13.42	-29.22	0.99
1385.742188	-13.41	-29.52	0.97
1388.671875	-13.41	-29.68	0.94
1391.601563	-13.39	-29.72	0.95
