	SM57_PROX_20_BASS_REFLEX_SIN_LANA		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
834.960938	-7.00	18.50	0.98
837.890625	-6.96	18.71	0.97
840.820313	-6.92	18.95	0.89
843.750000	-6.91	18.79	0.88
846.679688	-6.90	18.42	0.94
849.609375	-6.89	17.97	0.94
852.539063	-6.87	17.53	0.91
855.468750	-6.82	17.07	0.88
858.398438	-6.76	16.52	0.79
861.328125	-6.74	16.36	0.79
864.257813	-6.74	16.46	0.77
867.187500	-6.76	16.81	0.86
870.117188	-6.82	17.54	0.91
873.046875	-6.86	18.58	0.86
875.976563	-6.91	19.67	0.65
878.906250	-6.97	20.61	0.49
881.835938	-7.03	21.35	0.53
884.765625	-7.09	21.60	0.83
887.695313	-7.18	21.32	0.68
890.625000	-7.24	20.80	0.49
893.554688	-7.25	20.16	0.92
896.484375	-7.23	19.46	0.89
899.414063	-7.19	18.64	0.83
902.343750	-7.13	17.79	0.65
905.273438	-7.06	16.98	0.61
908.203125	-7.04	16.48	0.78
911.132813	-7.04	16.01	0.89
914.062500	-7.04	15.63	0.81
916.992188	-7.07	15.40	0.61
919.921875	-7.08	15.16	0.65
922.851563	-7.08	15.01	0.67
925.781250	-7.04	15.18	0.69
928.710938	-6.98	15.53	0.65
931.640625	-6.89	15.94	0.94
934.570313	-6.81	16.35	0.86
937.500000	-6.76	16.46	0.91
940.429688	-6.73	16.31	0.92
943.359375	-6.70	16.09	0.97
946.289063	-6.68	15.80	0.96
949.218750	-6.66	15.57	0.96
952.148438	-6.64	15.29	0.96
955.078125	-6.64	14.96	0.98
958.007813	-6.65	14.44	0.72
960.937500	-6.66	14.11	0.93
963.867188	-6.67	13.97	0.96
966.796875	-6.67	13.91	0.80
969.726563	-6.66	13.78	0.98
972.656250	-6.65	13.56	0.94
975.585938	-6.64	13.45	0.44
978.515625	-6.64	13.23	0.42
981.445313	-6.65	12.95	0.94
984.375000	-6.65	12.80	0.95
987.304688	-6.64	12.66	0.97
990.234375	-6.64	12.54	0.94
993.164063	-6.64	12.46	0.98
996.093750	-6.64	12.33	0.96
999.023438	-6.64	12.28	0.93
1001.953125	-6.63	12.34	0.96
1004.882813	-6.63	12.39	0.95
1007.812500	-6.62	12.44	0.96
1010.742188	-6.62	12.42	0.94
1013.671875	-6.61	12.50	0.94
1016.601563	-6.59	12.68	0.96
1019.531250	-6.57	12.86	0.95
1022.460938	-6.57	13.11	0.98
1025.390625	-6.57	13.44	0.87
1028.320313	-6.58	13.48	0.76
1031.250000	-6.58	13.57	0.72
1034.179688	-6.57	13.60	0.94
1037.109375	-6.56	13.51	0.97
1040.039063	-6.56	13.37	0.97
1042.968750	-6.57	13.27	0.94
1045.898438	-6.58	13.21	0.86
1048.828125	-6.61	13.18	0.69
1051.757813	-6.63	13.15	0.61
1054.687500	-6.65	13.11	0.97
1057.617188	-6.69	13.20	0.97
1060.546875	-6.73	13.48	0.97
1063.476563	-6.76	13.90	0.97
1066.406250	-6.78	14.44	0.29
1069.335938	-6.81	14.68	0.44
1072.265625	-6.83	14.56	0.22
1075.195313	-6.85	14.01	0.18
1078.125000	-6.84	13.18	0.14
1081.054688	-6.79	12.16	0.18
1083.984375	-6.73	10.86	0.47
1086.914063	-6.67	9.26	0.55
1089.843750	-6.58	7.22	0.34
1092.773438	-6.50	5.26	0.63
1095.703125	-6.42	3.54	0.78
1098.632813	-6.36	2.17	0.73
1101.562500	-6.30	1.07	0.81
1104.492188	-6.26	0.97	0.64
1107.421875	-6.23	1.89	0.13
1110.351563	-6.22	2.76	0.01
1113.281250	-6.18	3.61	0.08
1116.210938	-6.13	4.32	0.43
1119.140625	-6.10	4.47	0.61
1122.070313	-6.08	3.88	0.76
1125.000000	-6.09	2.91	0.92
1127.929688	-6.11	1.77	0.94
1130.859375	-6.14	0.52	0.95
1133.789063	-6.17	-0.74	0.88
1136.718750	-6.19	-1.91	0.65
1139.648438	-6.20	-2.95	0.42
1142.578125	-6.22	-3.74	0.48
1145.507813	-6.27	-4.21	0.49
1148.437500	-6.33	-4.40	0.25
1151.367188	-6.41	-4.20	0.36
1154.296875	-6.47	-3.95	0.49
1157.226563	-6.51	-3.70	0.52
1160.156250	-6.54	-3.51	0.64
1163.085938	-6.57	-3.55	0.39
1166.015625	-6.59	-3.87	0.13
1168.945313	-6.60	-4.39	0.16
1171.875000	-6.59	-4.88	0.64
1174.804688	-6.58	-5.37	0.65
1177.734375	-6.57	-5.90	0.70
1180.664063	-6.56	-6.40	0.85
1183.593750	-6.55	-6.88	0.85
1186.523438	-6.54	-7.32	0.73
1189.453125	-6.54	-7.56	0.50
1192.382813	-6.53	-7.75	0.29
1195.312500	-6.54	-7.53	0.42
1198.242188	-6.57	-7.06	0.54
1201.171875	-6.59	-6.49	0.58
1204.101563	-6.63	-5.96	0.82
1207.031250	-6.68	-5.68	0.71
1209.960938	-6.71	-5.52	0.65
1212.890625	-6.73	-5.56	0.86
1215.820313	-6.75	-5.52	0.99
1218.750000	-6.76	-5.49	0.97
1221.679688	-6.79	-5.50	0.95
1224.609375	-6.82	-5.52	0.91
1227.539063	-6.84	-5.54	0.96
1230.468750	-6.86	-5.57	0.93
1233.398438	-6.86	-5.56	0.99
1236.328125	-6.86	-5.56	0.99
1239.257813	-6.86	-5.60	0.99
1242.187500	-6.87	-5.64	0.84
1245.117188	-6.87	-5.67	0.91
1248.046875	-6.86	-5.75	0.95
1250.976563	-6.84	-5.83	0.78
1253.906250	-6.81	-5.99	0.55
1256.835938	-6.79	-6.15	0.75
1259.765625	-6.76	-6.28	0.90
1262.695313	-6.74	-6.42	0.92
1265.625000	-6.72	-6.63	0.91
1268.554688	-6.71	-6.90	0.84
1271.484375	-6.68	-7.16	0.89
1274.414063	-6.63	-7.39	0.95
1277.343750	-6.57	-7.59	0.71
1280.273438	-6.50	-7.62	0.73
1283.203125	-6.45	-7.63	0.80
1286.132813	-6.39	-7.67	0.83
1289.062500	-6.34	-7.69	0.80
1291.992188	-6.30	-7.74	0.89
1294.921875	-6.26	-7.86	0.95
1297.851563	-6.22	-8.04	0.93
1300.781250	-6.19	-8.30	0.94
1303.710938	-6.18	-8.63	0.90
1306.640625	-6.17	-9.06	0.85
1309.570313	-6.18	-9.58	0.85
1312.500000	-6.20	-10.17	0.82
1315.429688	-6.24	-10.84	0.75
1318.359375	-6.29	-11.45	0.86
1321.289063	-6.34	-11.96	0.83
1324.218750	-6.37	-12.27	0.79
1327.148438	-6.40	-12.28	0.73
1330.078125	-6.43	-12.07	0.42
1333.007813	-6.43	-11.84	0.30
1335.937500	-6.42	-11.62	0.37
1338.867188	-6.38	-11.49	0.83
1341.796875	-6.36	-11.44	0.78
1344.726563	-6.34	-11.47	0.80
1347.656250	-6.32	-11.56	0.90
1350.585938	-6.29	-11.70	0.86
1353.515625	-6.27	-12.00	0.82
1356.445313	-6.27	-12.40	0.70
1359.375000	-6.28	-12.88	0.81
1362.304688	-6.29	-13.31	0.78
1365.234375	-6.30	-13.67	0.73
1368.164063	-6.32	-13.67	0.85
1371.093750	-6.34	-13.51	0.71
1374.023438	-6.35	-13.24	0.55
1376.953125	-6.35	-12.96	0.77
1379.882813	-6.34	-12.67	0.94
1382.812500	-6.31	-12.37	0.98
1385.742188	-6.29	-12.01	0.98
1388.671875	-6.25	-11.62	0.93
1391.601563	-6.22	-11.33	0.86
1394.531250	-6.18	-11.18	0.65
1397.460938	-6.14	-11.19	0.69
1400.390625	-6.12	-11.42	0.63
1403.320313	-6.09	-11.69	0.67
1406.250000	-6.07	-11.94	0.76
1409.179688	-6.06	-12.13	0.84
1412.109375	-6.07	-12.23	0.99
1415.039063	-6.07	-12.34	0.97
1417.968750	-6.08	-12.42	0.96
1420.898438	-6.08	-12.46	0.91
1423.828125	-6.09	-12.47	0.97
1426.757813	-6.08	-12.49	0.97
1429.687500	-6.07	-12.53	0.95
1432.617188	-6.06	-12.55	0.92
1435.546875	-6.05	-12.62	0.80
1438.476563	-6.05	-12.76	0.65
1441.406250	-6.04	-13.08	0.60
1444.335938	-6.04	-13.58	0.62
1447.265625	-6.04	-14.14	0.64
1450.195313	-6.05	-14.66	0.66
1453.125000	-6.06	-15.09	0.46
1456.054688	-6.06	-15.37	0.43
1458.984375	-6.05	-15.48	0.72
1461.914063	-6.04	-15.55	0.94
1464.843750	-6.02	-15.64	0.95
1467.773438	-6.01	-15.74	0.94
1470.703125	-5.99	-15.84	0.97
1473.632813	-5.98	-15.93	0.90
1476.562500	-5.96	-15.97	0.51
1479.492188	-5.92	-16.02	0.57
1482.421875	-5.88	-16.20	0.72
1485.351563	-5.84	-16.51	0.66
1488.281250	-5.80	-16.98	0.62
1491.210938	-5.77	-17.63	0.62
1494.140625	-5.75	-18.35	0.65
1497.070313	-5.73	-18.98	0.72
1500.000000	-5.72	-19.38	0.70
1502.929688	-5.71	-19.58	0.79
1505.859375	-5.71	-19.57	0.80
1508.789063	-5.71	-19.38	0.75
1511.718750	-5.72	-19.13	0.78
1514.648438	-5.73	-18.86	0.80
1517.578125	-5.74	-18.46	0.73
1520.507813	-5.75	-17.98	0.68
1523.437500	-5.77	-17.41	0.45
1526.367188	-5.77	-16.78	0.04
1529.296875	-5.77	-16.19	0.57
1532.226563	-5.77	-15.76	0.76
1535.156250	-5.78	-15.60	0.81
1538.085938	-5.80	-15.60	0.81
1541.015625	-5.81	-15.67	0.83
1543.945313	-5.85	-15.60	0.79
1546.875000	-5.89	-15.36	0.74
1549.804688	-5.93	-14.96	0.65
1552.734375	-5.98	-14.48	0.37
1555.664063	-6.04	-13.91	0.12
1558.593750	-6.11	-13.31	0.56
1561.523438	-6.16	-12.66	0.49
1564.453125	-6.21	-11.89	0.53
1567.382813	-6.25	-10.94	0.61
1570.312500	-6.28	-9.82	0.52
1573.242188	-6.29	-8.60	0.49
1576.171875	-6.30	-7.43	0.52
1579.101563	-6.29	-6.43	0.54
1582.031250	-6.28	-5.75	0.46
1584.960938	-6.27	-5.61	0.57
1587.890625	-6.26	-5.73	0.70
1590.820313	-6.25	-5.91	0.81
1593.750000	-6.23	-6.08	0.78
1596.679688	-6.21	-6.20	0.60
1599.609375	-6.17	-6.28	0.59
1602.539063	-6.13	-6.30	0.49
1605.468750	-6.09	-6.24	0.63
1608.398438	-6.04	-6.01	0.44
1611.328125	-6.00	-5.52	0.10
1614.257813	-5.96	-5.00	0.51
1617.187500	-5.93	-4.69	0.49
1620.117188	-5.90	-4.49	0.46
1623.046875	-5.89	-4.36	0.43
1625.976563	-5.88	-4.41	0.37
1628.906250	-5.87	-4.66	0.16
1631.835938	-5.87	-5.19	0.41
1634.765625	-5.88	-5.90	0.67
1637.695313	-5.89	-6.77	0.77
1640.625000	-5.89	-7.61	0.34
1643.554688	-5.89	-8.47	0.14
1646.484375	-5.90	-9.27	0.14
1649.414063	-5.90	-10.04	0.40
1652.343750	-5.91	-10.73	0.74
1655.273438	-5.92	-11.35	0.94
1658.203125	-5.93	-11.97	0.91
1661.132813	-5.93	-12.56	0.41
1664.062500	-5.94	-13.07	0.24
1666.992188	-5.97	-13.29	0.24
1669.921875	-6.01	-13.28	0.32
1672.851563	-6.06	-13.00	0.26
1675.781250	-6.12	-12.51	0.91
1678.710938	-6.18	-12.05	0.97
1681.640625	-6.24	-11.68	0.96
1684.570313	-6.30	-11.36	0.38
1687.500000	-6.38	-11.06	0.47
1690.429688	-6.47	-10.83	0.51
1693.359375	-6.58	-10.72	0.78
1696.289063	-6.68	-10.63	0.74
1699.218750	-6.78	-10.56	0.72
1702.148438	-6.87	-10.52	0.80
1705.078125	-6.97	-10.45	0.81
1708.007813	-7.04	-10.43	0.79
1710.937500	-7.10	-10.41	0.82
1713.867188	-7.14	-10.38	0.83
1716.796875	-7.17	-10.31	0.89
1719.726563	-7.19	-10.20	0.94
1722.656250	-7.21	-10.01	0.96
1725.585938	-7.23	-9.80	0.92
1728.515625	-7.25	-9.53	0.77
1731.445313	-7.26	-9.32	0.84
1734.375000	-7.28	-9.15	0.87
1737.304688	-7.30	-9.03	0.90
1740.234375	-7.32	-8.96	0.90
1743.164063	-7.34	-8.94	0.94
1746.093750	-7.36	-8.98	0.82
1749.023438	-7.37	-9.01	0.79
1751.953125	-7.37	-9.03	0.71
1754.882813	-7.36	-9.05	0.79
1757.812500	-7.34	-9.08	0.78
1760.742188	-7.32	-9.12	0.74
1763.671875	-7.28	-9.17	0.74
1766.601563	-7.24	-9.21	0.86
1769.531250	-7.19	-9.27	0.94
1772.460938	-7.14	-9.36	0.96
1775.390625	-7.09	-9.45	0.98
1778.320313	-7.04	-9.53	0.97
1781.250000	-7.01	-9.62	0.96
1784.179688	-6.98	-9.71	0.96
1787.109375	-6.96	-9.78	0.95
1790.039063	-6.94	-9.84	0.95
1792.968750	-6.92	-9.86	0.95
1795.898438	-6.91	-9.86	0.90
1798.828125	-6.90	-9.83	0.99
1801.757813	-6.89	-9.83	0.98
1804.687500	-6.89	-9.83	0.96
1807.617188	-6.89	-9.83	0.96
1810.546875	-6.90	-9.83	0.94
1813.476563	-6.91	-9.81	0.99
1816.406250	-6.92	-9.81	0.91
1819.335938	-6.93	-9.79	0.96
1822.265625	-6.95	-9.77	0.89
1825.195313	-6.96	-9.74	0.96
1828.125000	-6.97	-9.76	0.97
1831.054688	-6.97	-9.81	0.96
1833.984375	-6.98	-9.89	0.95
1836.914063	-6.99	-9.97	0.93
1839.843750	-7.00	-10.04	0.95
1842.773438	-7.00	-10.08	0.95
1845.703125	-7.01	-10.08	0.95
1848.632813	-7.03	-10.02	0.69
1851.562500	-7.05	-9.92	0.84
1854.492188	-7.08	-9.79	0.88
1857.421875	-7.10	-9.61	0.85
1860.351563	-7.12	-9.46	0.90
1863.281250	-7.14	-9.28	0.93
1866.210938	-7.17	-9.13	0.96
1869.140625	-7.20	-9.02	0.91
1872.070313	-7.22	-8.92	0.96
1875.000000	-7.25	-8.83	0.92
1877.929688	-7.28	-8.75	0.85
1880.859375	-7.30	-8.68	0.83
1883.789063	-7.33	-8.62	0.87
1886.718750	-7.35	-8.56	0.90
1889.648438	-7.36	-8.51	0.92
1892.578125	-7.36	-8.48	0.94
1895.507813	-7.36	-8.50	0.95
1898.437500	-7.35	-8.55	0.94
1901.367188	-7.35	-8.62	0.96
1904.296875	-7.34	-8.71	0.98
1907.226563	-7.34	-8.81	0.98
1910.156250	-7.33	-8.94	0.97
1913.085938	-7.32	-9.08	0.97
1916.015625	-7.31	-9.24	0.97
1918.945313	-7.31	-9.44	0.98
1921.875000	-7.30	-9.65	0.98
1924.804688	-7.28	-9.88	0.97
1927.734375	-7.26	-10.12	0.97
1930.664063	-7.24	-10.36	0.95
1933.593750	-7.21	-10.60	0.94
1936.523438	-7.18	-10.85	0.94
1939.453125	-7.15	-11.10	0.87
1942.382813	-7.12	-11.32	0.89
1945.312500	-7.10	-11.52	0.93
1948.242188	-7.07	-11.74	0.94
1951.171875	-7.05	-11.97	0.95
1954.101563	-7.02	-12.19	0.95
1957.031250	-7.00	-12.44	0.95
1959.960938	-6.98	-12.67	0.93
1962.890625	-6.97	-12.94	0.96
1965.820313	-6.96	-13.18	0.97
1968.750000	-6.96	-13.42	0.96
1971.679688	-6.95	-13.65	0.97
1974.609375	-6.95	-13.87	0.98
1977.539063	-6.94	-14.09	0.99
1980.468750	-6.94	-14.30	0.97
1983.398438	-6.94	-14.52	0.81
1986.328125	-6.94	-14.70	0.67
1989.257813	-6.94	-14.87	0.79
1992.187500	-6.93	-15.04	0.92
1995.117188	-6.92	-15.23	0.93
1998.046875	-6.92	-15.42	0.82
2000.976563	-6.92	-15.57	0.70
2003.906250	-6.92	-15.70	0.67
2006.835938	-6.92	-15.84	0.68
2009.765625	-6.91	-15.97	0.87
2012.695313	-6.91	-16.12	0.96
2015.625000	-6.91	-16.27	0.95
2018.554688	-6.91	-16.42	0.95
2021.484375	-6.91	-16.59	0.91
2024.414063	-6.92	-16.78	0.87
2027.343750	-6.93	-16.98	0.84
2030.273438	-6.93	-17.21	0.92
2033.203125	-6.94	-17.45	0.89
2036.132813	-6.95	-17.66	0.88
