	SM57_PROX_100MM		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
799.804688	-6.53	-16.20	0.93
802.734375	-6.50	-16.05	0.97
805.664063	-6.47	-15.79	0.98
808.593750	-6.44	-15.45	0.97
811.523438	-6.41	-15.05	0.95
814.453125	-6.38	-14.67	0.97
817.382813	-6.36	-14.39	0.96
820.312500	-6.33	-14.21	0.97
823.242188	-6.30	-14.19	0.99
826.171875	-6.28	-14.21	1.00
829.101563	-6.26	-14.23	1.00
832.031250	-6.25	-14.26	1.00
834.960938	-6.23	-14.26	0.99
837.890625	-6.22	-14.22	0.99
840.820313	-6.21	-14.09	0.97
843.750000	-6.20	-13.89	0.99
846.679688	-6.19	-13.55	0.99
849.609375	-6.17	-13.10	0.97
852.539063	-6.17	-12.74	0.96
855.468750	-6.16	-12.31	0.96
858.398438	-6.14	-11.84	0.92
861.328125	-6.12	-11.30	0.90
864.257813	-6.10	-10.86	0.93
867.187500	-6.08	-10.54	0.96
870.117188	-6.06	-10.27	0.92
873.046875	-6.04	-10.12	0.90
875.976563	-6.01	-10.14	0.90
878.906250	-5.99	-10.16	0.95
881.835938	-5.96	-10.21	0.95
884.765625	-5.93	-10.25	0.91
887.695313	-5.89	-10.33	0.92
890.625000	-5.85	-10.43	0.91
893.554688	-5.81	-10.62	0.93
896.484375	-5.77	-10.93	0.91
899.414063	-5.73	-11.34	0.96
902.343750	-5.70	-11.76	0.97
905.273438	-5.68	-12.15	0.96
908.203125	-5.66	-12.58	0.90
911.132813	-5.66	-12.92	0.93
914.062500	-5.65	-13.28	0.95
916.992188	-5.65	-13.55	0.97
919.921875	-5.66	-13.75	0.97
922.851563	-5.66	-13.98	0.98
925.781250	-5.67	-14.21	0.98
928.710938	-5.68	-14.34	0.98
931.640625	-5.70	-14.40	0.98
934.570313	-5.72	-14.47	0.97
937.500000	-5.74	-14.58	0.97
940.429688	-5.76	-14.65	0.96
943.359375	-5.78	-14.78	0.96
946.289063	-5.80	-14.93	0.96
949.218750	-5.81	-14.99	0.96
952.148438	-5.84	-14.78	0.94
955.078125	-5.87	-14.38	0.95
958.007813	-5.89	-13.91	0.95
960.937500	-5.92	-13.43	0.99
963.867188	-5.94	-13.07	0.99
966.796875	-5.96	-12.82	0.94
969.726563	-5.98	-12.58	0.92
972.656250	-6.00	-12.29	0.97
975.585938	-6.02	-11.94	0.96
978.515625	-6.03	-11.53	0.99
981.445313	-6.05	-11.23	0.99
984.375000	-6.05	-10.98	0.99
987.304688	-6.06	-10.80	0.96
990.234375	-6.06	-10.66	0.94
993.164063	-6.06	-10.55	0.94
996.093750	-6.06	-10.43	0.95
999.023438	-6.06	-10.29	0.92
1001.953125	-6.06	-10.14	0.81
1004.882813	-6.05	-10.06	0.86
1007.812500	-6.04	-10.19	0.93
1010.742188	-6.03	-10.47	0.92
1013.671875	-6.02	-10.82	0.87
1016.601563	-6.01	-11.18	0.81
1019.531250	-6.00	-11.48	0.81
1022.460938	-5.99	-11.71	0.90
1025.390625	-5.98	-11.80	0.92
1028.320313	-5.98	-11.85	0.94
1031.250000	-5.97	-12.06	0.92
1034.179688	-5.97	-12.42	0.77
1037.109375	-5.97	-12.86	0.70
1040.039063	-5.97	-13.14	0.84
1042.968750	-5.98	-13.17	0.91
1045.898438	-6.00	-13.17	0.84
1048.828125	-6.01	-13.14	0.81
1051.757813	-6.02	-13.21	0.88
1054.687500	-6.03	-13.58	0.87
1057.617188	-6.04	-13.97	0.94
1060.546875	-6.05	-14.28	0.85
1063.476563	-6.06	-14.56	0.77
1066.406250	-6.07	-14.81	0.81
1069.335938	-6.08	-15.18	0.80
1072.265625	-6.10	-15.63	0.84
1075.195313	-6.13	-15.84	0.73
1078.125000	-6.15	-16.11	0.73
1081.054688	-6.18	-16.66	0.71
1083.984375	-6.21	-17.49	0.58
1086.914063	-6.23	-18.40	0.73
1089.843750	-6.27	-19.38	0.89
1092.773438	-6.30	-20.12	0.82
1095.703125	-6.34	-20.60	0.84
1098.632813	-6.38	-20.86	0.81
1101.562500	-6.41	-20.87	0.72
1104.492188	-6.45	-20.66	0.83
1107.421875	-6.49	-20.17	0.44
1110.351563	-6.52	-19.64	0.62
1113.281250	-6.55	-19.27	0.66
1116.210938	-6.57	-18.92	0.68
1119.140625	-6.58	-18.57	0.55
1122.070313	-6.59	-18.34	0.56
1125.000000	-6.58	-18.15	0.74
1127.929688	-6.57	-17.95	0.76
1130.859375	-6.56	-17.75	0.72
1133.789063	-6.54	-17.32	0.75
1136.718750	-6.53	-16.72	0.70
1139.648438	-6.50	-16.01	0.44
1142.578125	-6.47	-15.31	0.42
1145.507813	-6.44	-14.61	0.65
1148.437500	-6.41	-13.83	0.78
1151.367188	-6.38	-12.91	0.88
1154.296875	-6.34	-11.99	0.89
1157.226563	-6.30	-11.18	0.92
1160.156250	-6.26	-10.52	0.84
1163.085938	-6.22	-9.71	0.82
1166.015625	-6.18	-8.80	0.81
1168.945313	-6.14	-7.90	0.65
1171.875000	-6.10	-7.18	0.57
1174.804688	-6.05	-6.82	0.69
1177.734375	-6.01	-6.60	0.97
1180.664063	-5.98	-6.51	0.97
1183.593750	-5.95	-6.47	0.97
1186.523438	-5.92	-6.49	0.97
1189.453125	-5.90	-6.56	0.97
1192.382813	-5.87	-6.72	0.94
1195.312500	-5.85	-6.92	0.96
1198.242188	-5.83	-7.09	0.96
1201.171875	-5.82	-7.27	0.92
1204.101563	-5.80	-7.44	0.89
1207.031250	-5.79	-7.61	0.94
1209.960938	-5.78	-7.81	0.96
1212.890625	-5.77	-8.03	0.96
1215.820313	-5.76	-8.22	0.98
1218.750000	-5.75	-8.37	0.99
1221.679688	-5.74	-8.50	0.99
1224.609375	-5.73	-8.63	1.00
1227.539063	-5.72	-8.86	0.99
1230.468750	-5.72	-9.15	0.95
1233.398438	-5.72	-9.44	0.95
1236.328125	-5.72	-9.70	0.98
1239.257813	-5.71	-9.94	0.98
1242.187500	-5.71	-10.07	0.97
1245.117188	-5.72	-10.16	0.94
1248.046875	-5.73	-10.30	0.90
1250.976563	-5.73	-10.58	0.93
1253.906250	-5.74	-10.76	0.98
1256.835938	-5.75	-10.87	0.96
1259.765625	-5.77	-10.95	0.93
1262.695313	-5.79	-11.01	0.84
1265.625000	-5.81	-11.05	0.89
1268.554688	-5.83	-11.05	0.91
1271.484375	-5.85	-10.93	0.97
1274.414063	-5.88	-10.76	0.93
1277.343750	-5.90	-10.56	0.94
1280.273438	-5.93	-10.50	0.94
1283.203125	-5.97	-10.57	0.90
1286.132813	-6.00	-10.74	0.90
1289.062500	-6.04	-10.86	0.87
1291.992188	-6.07	-10.96	0.83
1294.921875	-6.11	-10.97	0.83
1297.851563	-6.15	-11.04	0.85
1300.781250	-6.19	-11.10	0.86
1303.710938	-6.23	-11.17	0.87
1306.640625	-6.27	-11.13	0.88
1309.570313	-6.31	-10.97	0.89
1312.500000	-6.36	-10.72	0.87
1315.429688	-6.40	-10.48	0.80
1318.359375	-6.44	-10.27	0.78
1321.289063	-6.48	-10.09	0.77
1324.218750	-6.51	-9.88	0.82
1327.148438	-6.53	-9.62	0.82
1330.078125	-6.56	-9.38	0.72
1333.007813	-6.59	-9.22	0.78
1335.937500	-6.62	-9.16	0.81
1338.867188	-6.65	-9.15	0.86
1341.796875	-6.68	-9.13	0.80
1344.726563	-6.72	-8.96	0.70
1347.656250	-6.76	-8.74	0.82
1350.585938	-6.79	-8.61	0.42
1353.515625	-6.82	-8.48	0.54
1356.445313	-6.86	-8.24	0.56
1359.375000	-6.90	-7.94	0.46
1362.304688	-6.95	-7.76	0.61
1365.234375	-7.00	-7.59	0.58
1368.164063	-7.05	-7.35	0.81
1371.093750	-7.11	-6.96	0.83
1374.023438	-7.17	-6.43	0.64
1376.953125	-7.22	-5.74	0.68
1379.882813	-7.28	-4.97	0.72
1382.812500	-7.34	-4.17	0.80
1385.742188	-7.40	-3.43	0.46
1388.671875	-7.45	-2.72	0.49
1391.601563	-7.50	-1.99	0.76
1394.531250	-7.55	-1.30	0.68
1397.460938	-7.60	-0.69	0.84
1400.390625	-7.64	-0.15	0.82
1403.320313	-7.68	0.28	0.74
1406.250000	-7.72	0.65	0.72
1409.179688	-7.75	0.88	0.72
1412.109375	-7.79	1.00	0.75
1415.039063	-7.82	0.99	0.73
1417.968750	-7.86	0.95	0.74
1420.898438	-7.89	0.88	0.65
1423.828125	-7.93	0.74	0.79
1426.757813	-7.97	0.60	0.70
1429.687500	-8.00	0.43	0.54
1432.617188	-8.04	0.28	0.81
1435.546875	-8.07	0.13	0.88
1438.476563	-8.11	-0.02	0.79
1441.406250	-8.14	-0.14	0.67
