	SM57_PROX_20_BASS_REFLEX_CON_LANA		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
764.648438	-8.01	14.67	0.97
767.578125	-8.07	14.26	0.94
770.507813	-8.12	13.98	0.97
773.437500	-8.17	13.75	0.99
776.367188	-8.23	13.42	0.96
779.296875	-8.31	13.07	0.97
782.226563	-8.39	12.87	0.94
785.156250	-8.44	12.65	0.91
788.085938	-8.43	12.53	0.92
791.015625	-8.35	12.64	0.82
793.945313	-8.26	12.60	0.78
796.875000	-8.13	12.32	0.71
799.804688	-7.98	11.97	0.92
802.734375	-7.83	11.18	0.93
805.664063	-7.70	10.21	0.94
808.593750	-7.61	9.46	0.97
811.523438	-7.54	8.90	0.98
814.453125	-7.50	8.42	0.99
817.382813	-7.46	8.12	0.99
820.312500	-7.43	7.89	0.98
823.242188	-7.41	7.68	0.95
826.171875	-7.40	7.60	0.91
829.101563	-7.40	7.58	0.95
832.031250	-7.40	7.70	0.91
834.960938	-7.36	7.90	0.88
837.890625	-7.34	8.03	0.92
840.820313	-7.35	8.03	0.93
843.750000	-7.32	7.87	0.91
846.679688	-7.26	7.67	0.90
849.609375	-7.17	7.42	0.90
852.539063	-7.05	7.13	0.95
855.468750	-6.91	6.94	0.91
858.398438	-6.77	6.78	0.90
861.328125	-6.65	6.64	0.93
864.257813	-6.55	6.59	0.97
867.187500	-6.46	6.47	0.98
870.117188	-6.38	6.28	0.98
873.046875	-6.30	6.01	0.98
875.976563	-6.24	5.57	0.97
878.906250	-6.20	5.05	0.98
881.835938	-6.17	4.40	0.98
884.765625	-6.12	3.70	0.99
887.695313	-6.06	2.95	0.99
890.625000	-6.01	2.14	0.99
893.554688	-5.97	1.28	0.98
896.484375	-5.94	0.42	0.99
899.414063	-5.92	-0.39	0.99
902.343750	-5.91	-1.12	0.96
905.273438	-5.90	-1.75	0.92
908.203125	-5.90	-2.17	0.95
911.132813	-5.89	-2.42	0.97
914.062500	-5.88	-2.61	0.97
916.992188	-5.86	-2.71	0.96
919.921875	-5.86	-2.72	0.96
922.851563	-5.86	-2.63	0.98
925.781250	-5.86	-2.46	0.99
928.710938	-5.85	-2.31	0.99
931.640625	-5.85	-2.18	0.99
934.570313	-5.84	-2.11	0.99
937.500000	-5.84	-2.10	0.98
940.429688	-5.84	-2.10	0.99
943.359375	-5.83	-2.06	0.99
946.289063	-5.82	-1.99	0.99
949.218750	-5.81	-1.94	0.99
952.148438	-5.80	-2.02	0.98
955.078125	-5.80	-2.15	0.99
958.007813	-5.80	-2.31	0.97
960.937500	-5.79	-2.55	0.99
963.867188	-5.78	-2.80	0.98
966.796875	-5.77	-3.13	0.93
969.726563	-5.77	-3.52	0.90
972.656250	-5.76	-3.94	0.95
975.585938	-5.74	-4.41	0.96
978.515625	-5.70	-4.81	0.98
981.445313	-5.67	-5.22	0.99
984.375000	-5.64	-5.64	0.98
987.304688	-5.62	-6.12	0.95
990.234375	-5.58	-6.58	0.95
993.164063	-5.54	-7.04	0.96
996.093750	-5.50	-7.40	0.94
999.023438	-5.46	-7.69	0.89
1001.953125	-5.43	-7.84	0.94
1004.882813	-5.40	-7.99	0.95
1007.812500	-5.37	-8.18	0.96
1010.742188	-5.34	-8.44	0.96
1013.671875	-5.31	-8.77	0.94
1016.601563	-5.29	-9.09	0.97
1019.531250	-5.28	-9.36	0.98
1022.460938	-5.27	-9.54	0.96
1025.390625	-5.27	-9.60	0.98
1028.320313	-5.28	-9.51	0.98
1031.250000	-5.29	-9.35	0.98
1034.179688	-5.30	-9.13	0.97
1037.109375	-5.32	-8.94	0.98
1040.039063	-5.34	-8.72	0.98
1042.968750	-5.36	-8.39	0.95
1045.898438	-5.38	-8.03	0.96
1048.828125	-5.41	-7.68	0.97
1051.757813	-5.43	-7.36	0.93
1054.687500	-5.45	-7.10	0.90
1057.617188	-5.48	-6.89	0.91
1060.546875	-5.50	-6.78	0.95
1063.476563	-5.55	-6.79	0.98
1066.406250	-5.61	-7.00	0.96
1069.335938	-5.70	-7.29	0.94
1072.265625	-5.78	-7.69	0.94
1075.195313	-5.88	-8.20	0.95
1078.125000	-5.97	-8.81	0.87
1081.054688	-6.07	-9.40	0.73
1083.984375	-6.15	-10.05	0.95
1086.914063	-6.23	-10.68	0.96
1089.843750	-6.30	-11.21	0.98
1092.773438	-6.38	-11.55	0.99
1095.703125	-6.45	-11.76	0.94
1098.632813	-6.51	-11.88	0.92
1101.562500	-6.59	-11.90	0.96
1104.492188	-6.67	-11.84	0.90
1107.421875	-6.75	-11.61	0.90
1110.351563	-6.84	-11.39	0.94
1113.281250	-6.95	-11.29	0.94
1116.210938	-7.06	-11.32	0.92
1119.140625	-7.18	-11.39	0.92
1122.070313	-7.29	-11.41	0.93
1125.000000	-7.38	-11.41	0.86
1127.929688	-7.47	-11.38	0.86
1130.859375	-7.56	-11.43	0.88
1133.789063	-7.65	-11.37	0.87
1136.718750	-7.74	-11.18	0.85
1139.648438	-7.83	-10.91	0.85
1142.578125	-7.91	-10.65	0.89
1145.507813	-8.00	-10.33	0.92
1148.437500	-8.09	-10.07	0.93
1151.367188	-8.19	-9.91	0.96
1154.296875	-8.29	-9.75	0.89
1157.226563	-8.38	-9.54	0.84
1160.156250	-8.42	-9.31	0.81
1163.085938	-8.44	-9.13	0.89
1166.015625	-8.43	-9.00	0.94
1168.945313	-8.42	-8.99	0.80
1171.875000	-8.38	-9.01	0.75
1174.804688	-8.33	-8.89	0.73
1177.734375	-8.26	-8.72	0.75
1180.664063	-8.16	-8.64	0.81
1183.593750	-8.06	-8.71	0.69
1186.523438	-7.96	-8.92	0.90
1189.453125	-7.88	-9.18	0.83
1192.382813	-7.84	-9.57	0.74
