	SM57_PROX_20		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
720.703125	-6.77	9.41	0.99
723.632813	-6.75	9.22	0.99
726.562500	-6.74	9.04	1.00
729.492188	-6.72	8.88	1.00
732.421875	-6.69	8.70	1.00
735.351563	-6.67	8.49	1.00
738.281250	-6.64	8.28	1.00
741.210938	-6.62	8.10	1.00
744.140625	-6.59	7.93	1.00
747.070313	-6.56	7.75	0.99
750.000000	-6.52	7.56	0.99
752.929688	-6.49	7.34	0.99
755.859375	-6.46	7.09	1.00
758.789063	-6.42	6.91	1.00
761.718750	-6.37	6.75	1.00
764.648438	-6.32	6.60	1.00
767.578125	-6.27	6.42	0.99
770.507813	-6.22	6.20	1.00
773.437500	-6.18	6.03	1.00
776.367188	-6.14	5.91	1.00
779.296875	-6.09	5.79	1.00
782.226563	-6.05	5.65	1.00
785.156250	-6.01	5.53	1.00
788.085938	-5.96	5.42	1.00
791.015625	-5.92	5.26	0.99
793.945313	-5.87	5.04	0.99
796.875000	-5.82	4.80	1.00
799.804688	-5.78	4.53	1.00
802.734375	-5.74	4.25	1.00
805.664063	-5.71	4.02	1.00
808.593750	-5.69	3.88	1.00
811.523438	-5.66	3.78	1.00
814.453125	-5.64	3.70	1.00
817.382813	-5.62	3.61	0.99
820.312500	-5.61	3.48	0.99
823.242188	-5.62	3.25	0.98
826.171875	-5.62	3.07	0.99
829.101563	-5.64	2.85	0.99
832.031250	-5.66	2.66	0.99
834.960938	-5.69	2.52	0.98
837.890625	-5.73	2.43	0.99
840.820313	-5.76	2.37	0.99
843.750000	-5.80	2.36	0.99
846.679688	-5.84	2.36	0.99
849.609375	-5.87	2.38	0.99
852.539063	-5.91	2.41	0.97
855.468750	-5.93	2.49	0.98
858.398438	-5.96	2.59	0.98
861.328125	-5.99	2.75	0.98
864.257813	-6.00	2.92	0.98
867.187500	-6.01	3.07	0.99
870.117188	-5.99	3.19	0.99
873.046875	-5.97	3.26	0.99
875.976563	-5.95	3.23	0.98
878.906250	-5.92	3.13	0.99
881.835938	-5.89	2.96	0.99
884.765625	-5.86	2.74	0.99
887.695313	-5.82	2.50	0.99
890.625000	-5.78	2.19	0.99
893.554688	-5.72	1.83	0.99
896.484375	-5.67	1.43	0.97
899.414063	-5.60	0.95	0.97
902.343750	-5.54	0.49	0.97
905.273438	-5.47	0.01	0.97
908.203125	-5.40	-0.44	0.98
911.132813	-5.33	-0.94	0.98
