	SM57_TF_0_0		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
949.218750	-1.25	1.84	0.99
952.148438	-1.21	1.76	0.99
955.078125	-1.18	1.65	0.99
958.007813	-1.15	1.44	0.99
960.937500	-1.12	1.14	0.99
963.867188	-1.09	0.75	0.99
966.796875	-1.07	0.18	0.99
969.726563	-1.05	-0.45	0.98
972.656250	-1.04	-1.05	0.98
975.585938	-1.03	-1.51	0.99
978.515625	-1.03	-1.92	0.99
981.445313	-1.02	-2.27	0.99
984.375000	-1.02	-2.56	0.99
987.304688	-1.02	-2.84	1.00
990.234375	-1.01	-3.09	0.99
993.164063	-1.01	-3.35	0.99
996.093750	-1.01	-3.64	0.99
999.023438	-1.00	-3.83	0.99
1001.953125	-1.01	-3.97	0.99
1004.882813	-1.01	-4.06	1.00
1007.812500	-1.01	-4.14	1.00
1010.742188	-1.01	-4.21	0.99
1013.671875	-1.01	-4.27	1.00
1016.601563	-1.01	-4.33	0.99
1019.531250	-1.01	-4.39	1.00
1022.460938	-1.00	-4.47	0.99
1025.390625	-1.00	-4.55	0.99
1028.320313	-1.00	-4.60	0.98
1031.250000	-0.99	-4.62	0.99
1034.179688	-0.98	-4.71	0.99
1037.109375	-0.97	-4.88	0.99
1040.039063	-0.96	-5.00	0.99
1042.968750	-0.95	-5.11	1.00
1045.898438	-0.94	-5.26	0.99
1048.828125	-0.93	-5.49	0.97
1051.757813	-0.92	-5.73	0.99
1054.687500	-0.92	-5.86	0.99
1057.617188	-0.91	-5.97	0.99
1060.546875	-0.90	-6.11	0.98
1063.476563	-0.89	-6.26	0.93
1066.406250	-0.88	-6.40	0.96
1069.335938	-0.87	-6.48	0.97
1072.265625	-0.86	-6.55	0.98
1075.195313	-0.85	-6.69	0.99
1078.125000	-0.84	-6.80	1.00
1081.054688	-0.83	-6.90	0.99
1083.984375	-0.82	-7.00	0.99
1086.914063	-0.81	-7.12	1.00
1089.843750	-0.80	-7.24	1.00
1092.773438	-0.80	-7.37	1.00
1095.703125	-0.79	-7.51	1.00
1098.632813	-0.78	-7.66	1.00
1101.562500	-0.78	-7.79	1.00
1104.492188	-0.77	-7.93	1.00
1107.421875	-0.77	-8.11	1.00
1110.351563	-0.76	-8.34	1.00
1113.281250	-0.76	-8.59	1.00
1116.210938	-0.76	-8.83	0.99
1119.140625	-0.76	-9.05	0.99
1122.070313	-0.76	-9.28	0.99
1125.000000	-0.76	-9.50	0.99
1127.929688	-0.77	-9.65	0.99
1130.859375	-0.78	-9.76	0.99
1133.789063	-0.79	-9.82	0.99
1136.718750	-0.80	-9.82	1.00
1139.648438	-0.80	-9.80	0.99
1142.578125	-0.81	-9.72	0.98
1145.507813	-0.82	-9.60	0.98
1148.437500	-0.82	-9.44	0.99
1151.367188	-0.82	-9.28	0.96
1154.296875	-0.82	-9.12	0.97
1157.226563	-0.82	-9.01	0.99
1160.156250	-0.82	-8.92	0.99
1163.085938	-0.82	-8.86	0.98
1166.015625	-0.82	-8.79	0.99
1168.945313	-0.82	-8.73	1.00
1171.875000	-0.82	-8.67	0.99
1174.804688	-0.81	-8.62	0.99
1177.734375	-0.81	-8.57	1.00
1180.664063	-0.80	-8.56	1.00
1183.593750	-0.80	-8.59	1.00
1186.523438	-0.79	-8.64	1.00
1189.453125	-0.78	-8.71	1.00
1192.382813	-0.77	-8.83	1.00
1195.312500	-0.77	-8.95	1.00
1198.242188	-0.76	-9.10	1.00
1201.171875	-0.75	-9.28	1.00
1204.101563	-0.75	-9.47	1.00
1207.031250	-0.74	-9.68	1.00
1209.960938	-0.74	-9.90	1.00
1212.890625	-0.73	-10.14	1.00
1215.820313	-0.73	-10.39	1.00
1218.750000	-0.73	-10.66	1.00
1221.679688	-0.73	-10.92	1.00
1224.609375	-0.73	-11.18	1.00
1227.539063	-0.74	-11.46	1.00
1230.468750	-0.74	-11.71	1.00
1233.398438	-0.75	-11.93	1.00
1236.328125	-0.76	-12.11	1.00
1239.257813	-0.76	-12.27	1.00
1242.187500	-0.77	-12.44	1.00
1245.117188	-0.77	-12.64	1.00
1248.046875	-0.78	-12.84	1.00
1250.976563	-0.79	-13.04	1.00
1253.906250	-0.79	-13.25	1.00
1256.835938	-0.80	-13.48	0.99
1259.765625	-0.81	-13.74	0.99
1262.695313	-0.83	-14.00	0.99
1265.625000	-0.84	-14.23	0.99
1268.554688	-0.86	-14.45	0.99
1271.484375	-0.87	-14.66	1.00
1274.414063	-0.89	-14.82	1.00
1277.343750	-0.91	-14.93	0.99
1280.273438	-0.92	-14.99	0.99
1283.203125	-0.93	-15.03	0.99
1286.132813	-0.95	-15.04	0.98
1289.062500	-0.96	-15.08	0.98
1291.992188	-0.97	-15.15	0.99
1294.921875	-0.98	-15.16	0.97
1297.851563	-0.99	-15.18	0.98
1300.781250	-0.99	-15.19	0.99
1303.710938	-1.00	-15.16	0.99
1306.640625	-1.01	-15.09	1.00
1309.570313	-1.01	-14.99	0.99
1312.500000	-1.02	-14.85	0.99
1315.429688	-1.02	-14.69	0.99
1318.359375	-1.02	-14.50	1.00
1321.289063	-1.02	-14.28	1.00
1324.218750	-1.02	-14.03	0.99
1327.148438	-1.02	-13.76	0.99
1330.078125	-1.02	-13.53	0.99
1333.007813	-1.01	-13.34	0.99
1335.937500	-1.01	-13.25	0.99
1338.867188	-1.00	-13.20	0.99
1341.796875	-1.00	-13.17	0.99
1344.726563	-0.99	-13.19	0.99
1347.656250	-0.98	-13.26	0.99
1350.585938	-0.97	-13.38	0.99
1353.515625	-0.96	-13.48	0.99
1356.445313	-0.96	-13.61	0.98
1359.375000	-0.95	-13.74	0.97
1362.304688	-0.95	-13.90	0.98
1365.234375	-0.95	-14.02	0.99
1368.164063	-0.94	-14.10	0.99
1371.093750	-0.94	-14.14	0.99
1374.023438	-0.93	-14.15	1.00
1376.953125	-0.93	-14.16	1.00
1379.882813	-0.92	-14.17	0.99
1382.812500	-0.91	-14.16	0.99
1385.742188	-0.91	-14.16	0.99
1388.671875	-0.90	-14.14	0.99
