	SM57_TF		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
960.937500	-27.36	6.87	1.00
963.867188	-27.34	6.73	1.00
966.796875	-27.34	6.57	1.00
969.726563	-27.33	6.43	1.00
972.656250	-27.33	6.29	1.00
975.585938	-27.33	6.18	1.00
978.515625	-27.33	6.08	1.00
981.445313	-27.34	5.98	1.00
984.375000	-27.34	5.90	1.00
987.304688	-27.34	5.81	1.00
990.234375	-27.34	5.73	1.00
993.164063	-27.34	5.63	1.00
996.093750	-27.34	5.52	1.00
999.023438	-27.35	5.42	1.00
1001.953125	-27.36	5.32	1.00
1004.882813	-27.37	5.25	1.00
1007.812500	-27.38	5.22	1.00
1010.742188	-27.39	5.22	1.00
1013.671875	-27.40	5.24	1.00
1016.601563	-27.41	5.28	1.00
1019.531250	-27.41	5.33	1.00
1022.460938	-27.41	5.39	1.00
1025.390625	-27.41	5.46	1.00
1028.320313	-27.40	5.54	1.00
1031.250000	-27.40	5.62	1.00
1034.179688	-27.39	5.71	1.00
1037.109375	-27.37	5.80	1.00
1040.039063	-27.35	5.88	1.00
1042.968750	-27.33	5.96	1.00
1045.898438	-27.30	6.02	1.00
1048.828125	-27.27	6.05	1.00
1051.757813	-27.23	6.05	1.00
1054.687500	-27.19	6.02	1.00
1057.617188	-27.15	5.95	1.00
1060.546875	-27.11	5.84	1.00
1063.476563	-27.08	5.70	1.00
1066.406250	-27.04	5.53	1.00
1069.335938	-27.00	5.33	1.00
1072.265625	-26.96	5.10	1.00
1075.195313	-26.93	4.83	1.00
1078.125000	-26.90	4.54	1.00
1081.054688	-26.87	4.21	1.00
1083.984375	-26.84	3.84	1.00
1086.914063	-26.82	3.44	1.00
1089.843750	-26.81	2.98	1.00
1092.773438	-26.80	2.46	1.00
1095.703125	-26.80	1.94	1.00
1098.632813	-26.81	1.44	1.00
1101.562500	-26.83	0.98	1.00
1104.492188	-26.86	0.55	1.00
1107.421875	-26.89	0.15	1.00
1110.351563	-26.93	-0.21	1.00
1113.281250	-26.97	-0.55	1.00
1116.210938	-27.02	-0.85	1.00
1119.140625	-27.07	-1.13	1.00
1122.070313	-27.12	-1.36	1.00
1125.000000	-27.17	-1.56	1.00
1127.929688	-27.22	-1.74	1.00
1130.859375	-27.28	-1.87	1.00
1133.789063	-27.33	-1.98	1.00
1136.718750	-27.39	-2.07	1.00
1139.648438	-27.44	-2.13	1.00
1142.578125	-27.49	-2.16	1.00
1145.507813	-27.54	-2.17	1.00
1148.437500	-27.60	-2.15	1.00
1151.367188	-27.65	-2.11	1.00
1154.296875	-27.70	-2.03	1.00
1157.226563	-27.75	-1.92	1.00
1160.156250	-27.79	-1.77	1.00
1163.085938	-27.84	-1.59	1.00
1166.015625	-27.87	-1.39	1.00
1168.945313	-27.91	-1.17	1.00
1171.875000	-27.94	-0.94	1.00
1174.804688	-27.96	-0.69	1.00
1177.734375	-27.98	-0.43	1.00
1180.664063	-27.99	-0.17	1.00
1183.593750	-28.00	0.07	1.00
1186.523438	-28.00	0.30	1.00
1189.453125	-27.99	0.51	1.00
1192.382813	-27.99	0.70	1.00
1195.312500	-27.98	0.86	1.00
1198.242188	-27.97	1.00	1.00
1201.171875	-27.97	1.10	1.00
1204.101563	-27.96	1.19	1.00
1207.031250	-27.96	1.25	1.00
